file,beads,opp.evt.ratio,opp.evt.ratio2,width,offset
751_caldata/2017-02-17_751_coastal_0.5um.evt,531,0.001,0.002,2500,2500
751_caldata/2017-02-17_751_coastal_0.75um.evt,1119,0.001,0.002,2500,2500
751_caldata/2017-02-17_751_coastal_1um.evt,500,0.001,0.001,2500,2500
751_caldata/2017-02-17_751_coastal_3.1um.evt,51,0,0,2500,2500
751_caldata/2017-02-17_751_coastal_5.7um.evt,55,0,0,2500,2500
751_caldata/2017-02-17_751_oligo_0.18um.evt,91,0,0.009,2500,2500
751_caldata/2017-02-17_751_oligo_0.3um.evt,732,0.001,0.001,2500,2500
751_caldata/2017-02-17_751_oligo_0.5um.evt,473,0,0.001,2500,2500
751_caldata/2017-02-17_751_oligo_0.75um.evt,1181,0.001,0.002,2500,2500
751_caldata/2017-02-17_751_oligo_1.83um.evt,2241,0.003,0.003,2500,2500
751_caldata/2017-02-17_751_oligo_1um.evt,3094,0.003,0.004,2500,2500
751_caldata/2017-02-17_751_oligo_3.1um.evt,941,0.001,0.003,2500,2500
751_caldata/2017-02-17_751_oligo_5.7um.evt,238,0.001,0.004,2500,2500
751_caldata/2017-02-18_751_coastal_0.3um.evt,1371,0.002,0.338,2500,2500
751_caldata/2017-02-18_751_coastal_1.83um.evt,644,0,0,2500,2500
751_caldata/2017-02-17_751_coastal_0.5um.evt,789,0.001,0.002,2500,5000
751_caldata/2017-02-17_751_coastal_0.75um.evt,1237,0.001,0.002,2500,5000
751_caldata/2017-02-17_751_coastal_1um.evt,528,0.001,0.001,2500,5000
751_caldata/2017-02-17_751_coastal_3.1um.evt,85,0.001,0.001,2500,5000
751_caldata/2017-02-17_751_coastal_5.7um.evt,68,0,0.001,2500,5000
751_caldata/2017-02-17_751_oligo_0.18um.evt,231,0,0.022,2500,5000
751_caldata/2017-02-17_751_oligo_0.3um.evt,1146,0.001,0.002,2500,5000
751_caldata/2017-02-17_751_oligo_0.5um.evt,589,0.001,0.001,2500,5000
751_caldata/2017-02-17_751_oligo_0.75um.evt,1315,0.001,0.002,2500,5000
751_caldata/2017-02-17_751_oligo_1.83um.evt,3072,0.004,0.004,2500,5000
751_caldata/2017-02-17_751_oligo_1um.evt,3476,0.003,0.004,2500,5000
751_caldata/2017-02-17_751_oligo_3.1um.evt,1124,0.002,0.004,2500,5000
751_caldata/2017-02-17_751_oligo_5.7um.evt,301,0.001,0.005,2500,5000
751_caldata/2017-02-18_751_coastal_0.3um.evt,1494,0.002,0.368,2500,5000
751_caldata/2017-02-18_751_coastal_1.83um.evt,805,0,0.001,2500,5000
751_caldata/2017-02-17_751_coastal_0.5um.evt,887,0.001,0.003,2500,7500
751_caldata/2017-02-17_751_coastal_0.75um.evt,1270,0.001,0.002,2500,7500
751_caldata/2017-02-17_751_coastal_1um.evt,564,0.001,0.002,2500,7500
751_caldata/2017-02-17_751_coastal_3.1um.evt,114,0.001,0.001,2500,7500
751_caldata/2017-02-17_751_coastal_5.7um.evt,69,0,0.001,2500,7500
751_caldata/2017-02-17_751_oligo_0.18um.evt,432,0,0.041,2500,7500
751_caldata/2017-02-17_751_oligo_0.3um.evt,1792,0.002,0.004,2500,7500
751_caldata/2017-02-17_751_oligo_0.5um.evt,687,0.001,0.001,2500,7500
751_caldata/2017-02-17_751_oligo_0.75um.evt,1589,0.002,0.002,2500,7500
751_caldata/2017-02-17_751_oligo_1.83um.evt,4239,0.005,0.006,2500,7500
751_caldata/2017-02-17_751_oligo_1um.evt,4105,0.004,0.005,2500,7500
751_caldata/2017-02-17_751_oligo_3.1um.evt,1353,0.002,0.004,2500,7500
751_caldata/2017-02-17_751_oligo_5.7um.evt,499,0.001,0.008,2500,7500
751_caldata/2017-02-18_751_coastal_0.3um.evt,1526,0.002,0.376,2500,7500
751_caldata/2017-02-18_751_coastal_1.83um.evt,950,0,0.001,2500,7500
751_caldata/2017-02-17_751_coastal_0.5um.evt,975,0.001,0.003,2500,10000
751_caldata/2017-02-17_751_coastal_0.75um.evt,1354,0.001,0.002,2500,10000
751_caldata/2017-02-17_751_coastal_1um.evt,641,0.001,0.002,2500,10000
751_caldata/2017-02-17_751_coastal_3.1um.evt,127,0.001,0.001,2500,10000
751_caldata/2017-02-17_751_coastal_5.7um.evt,85,0.001,0.001,2500,10000
751_caldata/2017-02-17_751_oligo_0.18um.evt,807,0.001,0.077,2500,10000
751_caldata/2017-02-17_751_oligo_0.3um.evt,2682,0.003,0.005,2500,10000
751_caldata/2017-02-17_751_oligo_0.5um.evt,869,0.001,0.001,2500,10000
751_caldata/2017-02-17_751_oligo_0.75um.evt,2117,0.002,0.003,2500,10000
751_caldata/2017-02-17_751_oligo_1.83um.evt,5894,0.007,0.009,2500,10000
751_caldata/2017-02-17_751_oligo_1um.evt,4832,0.005,0.006,2500,10000
751_caldata/2017-02-17_751_oligo_3.1um.evt,1975,0.003,0.006,2500,10000
751_caldata/2017-02-17_751_oligo_5.7um.evt,1014,0.003,0.017,2500,10000
751_caldata/2017-02-18_751_coastal_0.3um.evt,1587,0.002,0.391,2500,10000
751_caldata/2017-02-18_751_coastal_1.83um.evt,1095,0,0.001,2500,10000
