"i","n","fsc","chl","ssc","pe","file"
"beads","58719","21","1","52","5","740_0.3um_oligo.fcs"
"beads","16388","9","1","55","2","740_0.51um_coastal.fcs"
"beads","40155","171","1","109","6","740_0.51um_oligo.fcs"
"beads","10418","65","1","121","24","740_0.75um_coastal.fcs"
"beads","14896","54","2","362","90","740_0.75um_oligo.fcs"
"beads","5053","154","50","5693","1915","740_1.83um_coastal.fcs"
"beads","9685","607","29","2391","506","740_1.83um_oligo.fcs"
"beads","44526","16","4","601","193","740_1um_coastal.fcs"
"beads","11987","61","4","585","193","740_1um_oligo.fcs"
"beads","4985","18","97","5904","3600","740_3.1um_coastal.fcs"
"beads","5744","113","94","5520","3542","740_3.1um_oligo.fcs"
"beads","5120","148","1288","8974","9999","740_5.7um_coastal.fcs"
"beads","2527","229","1245","8954","9999","740_5.7um_oligo.fcs"
"beads","315399","13","1","23","2","751_0.18_oligo.fcs"
"beads","123917","136","1","40","6","751_0.3_oligo.fcs"
"beads","11881","29","1","40","6","751_0.3um_coastal.fcs"
"beads","20186","9","1","98","7","751_0.51um_coastal.fcs"
"beads","40100","73","1","100","8","751_0.51um_oligo.fcs"
"beads","11241","35","2","281","104","751_0.75_coastal.fcs"
"beads","21893","494","2","288","107","751_0.753um_oligo.fcs"
"beads","7699","125","48","4631","993","751_1.83_coastal.fcs"
"beads","16375","3561","49","4791","2190","751_1.83_oligo.fcs"
"beads","5292","39","4","540","219","751_1um_coastal.fcs"
"beads","14828","1162","4","544","225","751_1um_oligo.fcs"
"beads","5234","940","95","4513","3959","751_3.1_coastal.fcs"
"beads","8595","3932","95","4567","3998","751_3.1um_oligo.fcs"
"beads","4829","1836","1255","8343","9999","751_5.7_coastal.fcs"
"beads","1500","3566","1259","8388","9999","751_5.7_oligo.fcs"
"beads","15256","28","18","27","2","989_0.3um_coastal.fcs"
"beads","37034","36","1","31","2","989_0.3um_oligo.fcs"
"beads","7644","15","15","60","2","989_0.5um_coastal.fcs"
"beads","25127","6","1","66","2","989_0.5um_oligo.fcs"
"beads","7834","21","8","170","26","989_0.75um_coastal.fcs"
"beads","10421","40","1","201","31","989_0.75um_oligo.fcs"
"beads","8113","101","3","377","63","989_1.0um_coastal.fcs"
"beads","9841","126","3","469","79","989_1.0um_oligo.fcs"
"beads","10174","53","12","2863","606","989_1.83um_coastal.fcs"
"beads","7036","132","35","3497","729","989_1.83um_oligo.fcs"
"beads","7165","61","21","3103","948","989_3.1um_coastal.fcs"
"beads","11914","153","58","3976","1203","989_3.1um_oligo.fcs"
"beads","5541","854","859","8221","9999","989_5.7um_coastal.fcs"
"beads","9655","462","998","8834","9999","989_5.7um_oligo.fcs"
