inst,Bead Size (um),regime,Bead Events,Volume (ul),beads/ ul,File Name,
751,1,oligo,15070,100.54,149.8905908,751_1um_oligo.fcs,
751,0.51,oligo,40087,75.54,530.6724914,751_0.51um_oligo.fcs,
751,0.753,oligo,22199,100.55,220.7757335,751_0.753um_oligo.fcs,
751,3.1,oligo,8781,183.56,47.83721944,751_3.1um_oligo.fcs,
751,1.83,oligo,16697,51.81,322.2736923,751_1.83_oligo.fcs,
751,5.7,oligo,4272,192.34,22.21066861,751_5.7_oligo.fcs,
751,0.3,oligo,123660,51.52,2400.232919,751_0.3_oligo.fcs,
751,0.18,oligo,294005,37.07,7931.076342,751_0.18_oligo.fcs,
751,5.7,coastal,4831,351.02,13.76274856,751_5.7_coastal.fcs,
751,3.1,coastal,5319,149.24,35.64057893,751_3.1_coastal.fcs,
751,1,coastal,5358,67.35,79.5545657,751_1um_coastal.fcs,
751,0.51,coastal,20262,56.32,359.765625,751_0.51um_coastal.fcs,
751,0.753,coastal,11236,52.99,212.0400075,751_0.75_coastal.fcs,
751,0.3,coastal,11910,51.63,230.6798373,751_0.3um_coastal.fcs,
751,1.83,coastal,7847,53.52,146.6180867,751_1.83_coastal.fcs,
740,0.7,coastal,10624,66.87,158.8754299,740_0.75um_coastal.fcs,
740,0.5,coastal,16397,53.51,306.4287049,740_0.51um_coastal.fcs,
740,1.83,oligo,9940,116.15,85.57899268,740_1.83um_oligo.fcs,
740,1,oligo,12066,150.71,80.06104439,740_1um_oligo.fcs,
740,5.7,oligo,4555,530.62,8.584297614,740_5.7um_oligo.fcs,
740,3.1,oligo,5856,338.65,17.29218958,740_3.1um_oligo.fcs,
740,0.75,oligo,14955,101.44,147.4270505,740_0.75um_oligo.fcs,
740,0.51,oligo,40140,110.66,362.7326947,740_0.51um_oligo.fcs,
740,0.3,oligo,58728,102.44,573.2916829,740_0.3um_oligo.fcs,
740,1,coastal,44638,103.02,433.2945059,740_1um_coastal.fcs,
740,5.7,coastal,5182,900.27,5.756050962,740_5.7um_coastal.fcs,
740,3.1,coastal,5110,360.05,14.19247327,740_3.1um_coastal.fcs,
740,1.83,coastal,5153,78.11,65.97106644,740_1.83um_coastal.fcs,
989,1,oligo,10206,155.19,65.76454668,989_1.0um_oligo.fcs,
989,5.7,oligo,13695,393.29,34.82163289,989_5.7um_oligo.fcs,
989,3.1,oligo,12575,165.36,76.04620223,989_3.1um_oligo.fcs,
989,1.83,oligo,7523,401.65,18.73023777,989_1.83um_oligo.fcs,
989,0.75,oligo,10546,58.47,180.3659997,989_0.75um_oligo.fcs,
989,0.5,oligo,28256,59.2,477.2972973,989_0.5um_oligo.fcs,
989,0.3,oligo,44726,54.82,815.8701204,989_0.3um_oligo.fcs,
989,1,coastal,10153,197.2,51.48580122,989_1.0um_coastal.fcs,
989,5.7,coastal,8033,481.86,16.67081725,989_5.7um_coastal.fcs,
989,3.1,coastal,8178,150.57,54.31360829,989_3.1um_coastal.fcs,
989,1.83,coastal,10593,116.81,90.68572896,989_1.83um_coastal.fcs,
989,0.75,coastal,7934,102.72,77.23909657,989_0.75um_coastal.fcs,
989,0.5,coastal,10935,59.68,183.2272118,989_0.5um_coastal.fcs,
989,0.3,coastal,19130,52.44,364.7978642,989_0.3um_coastal.fcs,
