file,n.opp,n.opp.,n.evt,n.evt.,beads,pro,syn,pico,width,corr,offset.small.D1,offset.small.D2,offset.large.D1,offset.large.D2,notch.small.D1,notch.small.D2,notch.large.D1,notch.large.D2
2013_088/251.evt,3907,3907,1324416,1262477,0,1349,1954,319,5000,0,-12319,-11583,-46996,-44701,0.658,0.657,1.37,1.337
2013_088/251.evt,8201,8201,1324416,1262477,6,4797,2311,670,5000,2500,-9819,-9083,-44496,-42201,0.658,0.657,1.37,1.337
2013_088/251.evt,14106,14106,1324416,1262477,8,10093,2573,896,5000,5000,-7319,-6583,-41996,-39701,0.658,0.657,1.37,1.337
2013_088/251.evt,20178,20178,1324416,1262477,11,15682,2814,1040,5000,7500,-4819,-4083,-39496,-37201,0.658,0.657,1.37,1.337
2013_088/251.evt,24916,24916,1324416,1262477,11,19491,3062,1144,5000,10000,-2319,-1583,-36996,-34701,0.658,0.657,1.37,1.337
2013_088/251.evt,28377,28014,1324416,1262477,12,21651,3289,1186,5000,1,0,0,-46995,-44700,0.658,0.657,1.37,1.337
2013_088/251.evt,22995,22995,1324416,1262477,0,18357,2589,444,5000,2,0,0,-46994,-44699,0.405059132720105,0.419185282522996,1.37,1.337
2013_088/251.evt,24314,24314,1324416,1262477,6,19121,2708,736,5000,3,0,0,-44496,-42201,0.45638961892247,0.45638961892247,1.37,1.337
2013_088/251.evt,21585,21585,1324416,1262477,0,17407,2452,251,5000,4,0,0,-49496,-47201,0.35372864651774,0.367854796320631,1.37,1.337
2013_090/238.evt,1411,1411,1323776,1238339,0,137,668,143,5000,0,-12319,-11583,-46996,-44701,0.658,0.657,1.37,1.337
2013_090/238.evt,3069,3069,1323776,1238339,2,1150,796,453,5000,2500,-9819,-9083,-44496,-42201,0.658,0.657,1.37,1.337
2013_090/238.evt,7165,7165,1323776,1238339,7,4783,884,693,5000,5000,-7319,-6583,-41996,-39701,0.658,0.657,1.37,1.337
2013_090/238.evt,14071,14071,1323776,1238339,8,11365,951,820,5000,7500,-4819,-4083,-39496,-37201,0.658,0.657,1.37,1.337
2013_090/238.evt,20715,20715,1323776,1238339,9,17119,1016,902,5000,10000,-2319,-1583,-36996,-34701,0.658,0.657,1.37,1.337
2013_090/238.evt,25337,24710,1323776,1238339,10,19721,1084,930,5000,1,0,0,-46995,-44700,0.658,0.657,1.37,1.337
2013_090/238.evt,20558,20558,1323776,1238339,0,16703,878,237,5000,2,0,0,-46994,-44699,0.405059132720105,0.419185282522996,1.37,1.337
2013_090/238.evt,21782,21782,1323776,1238339,2,17411,926,503,5000,3,0,0,-44496,-42201,0.45638961892247,0.45638961892247,1.37,1.337
2013_090/238.evt,19320,19320,1323776,1238339,0,15812,850,111,5000,4,0,0,-49496,-47201,0.35372864651774,0.367854796320631,1.37,1.337
2013_091/270.evt,1098,1098,1349376,1241312,0,153,361,104,5000,0,-12319,-11583,-46996,-44701,0.658,0.657,1.37,1.337
2013_091/270.evt,2747,2747,1349376,1241312,4,1264,433,374,5000,2500,-9819,-9083,-44496,-42201,0.658,0.657,1.37,1.337
2013_091/270.evt,7186,7186,1349376,1241312,7,5359,470,551,5000,5000,-7319,-6583,-41996,-39701,0.658,0.657,1.37,1.337
2013_091/270.evt,14462,14462,1349376,1241312,8,12390,516,651,5000,7500,-4819,-4083,-39496,-37201,0.658,0.657,1.37,1.337
2013_091/270.evt,21566,21566,1349376,1241312,9,19266,557,713,5000,10000,-2319,-1583,-36996,-34701,0.658,0.657,1.37,1.337
2013_091/270.evt,26618,25536,1349376,1241312,11,22342,588,734,5000,1,0,0,-46995,-44700,0.658,0.657,1.37,1.337
2013_091/270.evt,22246,22246,1349376,1241312,0,19275,483,167,5000,2,0,0,-46994,-44699,0.405059132720105,0.419185282522996,1.37,1.337
2013_091/270.evt,23341,23341,1349376,1241312,2,19985,505,404,5000,3,0,0,-44496,-42201,0.45638961892247,0.45638961892247,1.37,1.337
2013_091/270.evt,21028,21028,1349376,1241312,0,18281,464,97,5000,4,0,0,-49496,-47201,0.35372864651774,0.367854796320631,1.37,1.337
2013_092/418.evt,1879,1879,1798912,1684030,1,1194,233,110,5000,0,-12319,-11583,-46996,-44701,0.658,0.657,1.37,1.337
2013_092/418.evt,6057,6057,1798912,1684030,8,5098,284,232,5000,2500,-9819,-9083,-44496,-42201,0.658,0.657,1.37,1.337
2013_092/418.evt,13120,13120,1798912,1684030,18,11940,327,319,5000,5000,-7319,-6583,-41996,-39701,0.658,0.657,1.37,1.337
2013_092/418.evt,20964,20964,1798912,1684030,25,19648,357,362,5000,7500,-4819,-4083,-39496,-37201,0.658,0.657,1.37,1.337
2013_092/418.evt,27571,27571,1798912,1684030,27,26059,390,399,5000,10000,-2319,-1583,-36996,-34701,0.658,0.657,1.37,1.337
2013_092/418.evt,32364,31703,1798912,1684030,28,29623,418,407,5000,1,0,0,-46995,-44700,0.658,0.657,1.37,1.337
2013_092/418.evt,27214,27214,1798912,1684030,1,25347,320,128,5000,2,0,0,-46994,-44699,0.405059132720105,0.419185282522996,1.37,1.337
2013_092/418.evt,28438,28438,1798912,1684030,5,26329,341,240,5000,3,0,0,-44496,-42201,0.45638961892247,0.45638961892247,1.37,1.337
2013_092/418.evt,25722,25722,1798912,1684030,0,24078,293,46,5000,4,0,0,-49496,-47201,0.35372864651774,0.367854796320631,1.37,1.337
2013_094/321.evt,938,938,1513600,1398317,1,0,6,227,5000,0,-12319,-11583,-46996,-44701,0.658,0.657,1.37,1.337
2013_094/321.evt,1511,1511,1513600,1398317,3,0,12,315,5000,2500,-9819,-9083,-44496,-42201,0.658,0.657,1.37,1.337
2013_094/321.evt,2738,2738,1513600,1398317,5,0,13,389,5000,5000,-7319,-6583,-41996,-39701,0.658,0.657,1.37,1.337
2013_094/321.evt,5272,5272,1513600,1398317,5,0,15,421,5000,7500,-4819,-4083,-39496,-37201,0.658,0.657,1.37,1.337
2013_094/321.evt,8811,8811,1513600,1398317,6,1,15,442,5000,10000,-2319,-1583,-36996,-34701,0.658,0.657,1.37,1.337
2013_094/321.evt,12504,11633,1513600,1398317,6,1,16,446,5000,1,0,0,-46995,-44700,0.658,0.657,1.37,1.337
2013_094/321.evt,9870,9870,1513600,1398317,1,1,15,262,5000,2,0,0,-46994,-44699,0.405059132720105,0.419185282522996,1.37,1.337
2013_094/321.evt,10447,10447,1513600,1398317,3,1,15,332,5000,3,0,0,-44496,-42201,0.45638961892247,0.45638961892247,1.37,1.337
2013_094/321.evt,9138,9138,1513600,1398317,0,1,14,149,5000,4,0,0,-49496,-47201,0.35372864651774,0.367854796320631,1.37,1.337
2013_096/2.evt,1485,1485,1746875,1669676,2,739,36,214,5000,0,-12319,-11583,-46996,-44701,0.658,0.657,1.37,1.337
2013_096/2.evt,4995,4995,1746875,1669676,6,3978,39,355,5000,2500,-9819,-9083,-44496,-42201,0.658,0.657,1.37,1.337
2013_096/2.evt,12401,12401,1746875,1669676,6,11185,40,451,5000,5000,-7319,-6583,-41996,-39701,0.658,0.657,1.37,1.337
