file,n.opp,n.evt,n.evt.,beads,pro,syn,pico,origin,offset.small.D1,offset.large.D1,offset.small.D2,offset.large.D2,width,corr
2013_088/251.evt,147926,1324416,1262477,6,18126,2312,831,0,5507.5,-28521.5,5507.5,-26990.5,2500,5507.5
2013_088/251.evt,6003,1324416,1262477,5,3712,1532,470,0,-10000,-44029,-10000,-42498,2500,-10000
2013_088/251.evt,10582,1324416,1262477,5,8003,1643,592,0,-7500,-41529,-7500,-39998,2500,-7500
2013_088/251.evt,15097,1324416,1262477,6,12298,1764,654,0,-5000,-39029,-5000,-37498,2500,-5000
2013_088/251.evt,18194,1324416,1262477,6,14832,1892,704,0,-2500,-36529,-2500,-34998,2500,-2500
2013_088/251.evt,20667,1324416,1262477,6,16004,2032,736,0,0,-34029,0,-32498,2500,0
2013_088/251.evt,124465,1324416,1262477,6,16979,2155,774,0,2500,-31529,2500,-29998,2500,2500
2013_088/251.evt,145049,1324416,1262477,6,17918,2286,827,0,5000,-29029,5000,-27498,2500,5000
2013_088/251.evt,157485,1324416,1262477,6,18990,2416,860,0,7500,-26529,7500,-24998,2500,7500
2013_088/251.evt,167683,1324416,1262477,6,20182,2544,903,0,10000,-24029,10000,-22498,2500,10000
2013_090/238.evt,193392,1323776,1238339,8,17409,733,610,0,5507.5,-28521.5,5507.5,-26990.5,2500,5507.5
2013_090/238.evt,2109,1323776,1238339,1,824,530,295,0,-10000,-44029,-10000,-42498,2500,-10000
2013_090/238.evt,5203,1323776,1238339,6,3658,568,445,0,-7500,-41529,-7500,-39998,2500,-7500
2013_090/238.evt,10835,1323776,1238339,8,9140,598,502,0,-5000,-39029,-5000,-37498,2500,-5000
2013_090/238.evt,16065,1323776,1238339,8,13919,627,540,0,-2500,-36529,-2500,-34998,2500,-2500
2013_090/238.evt,19926,1323776,1238339,8,15537,667,571,0,0,-34029,0,-32498,2500,0
2013_090/238.evt,165224,1323776,1238339,8,16435,696,587,0,2500,-31529,2500,-29998,2500,2500
2013_090/238.evt,189973,1323776,1238339,8,17227,722,606,0,5000,-29029,5000,-27498,2500,5000
