file,i,n.opp,n.opp2,n.evt,n.evt.,beads,pro,syn,pico,origin,offset.small.D1,offset.large.D1,offset.small.D2,offset.large.D2,width
2013_088/251.evt,mean,20667,20667,1324416,1262477,6,16004,2032,736,0,0,-35003,0,-33092,2500
2013_088/251.evt,97.5,20840,20840,1324416,1262477,6,16105,2070,748,0,0,-50380,0,-50598,2500
2013_088/251.evt,2.5,20473,20473,1324416,1262477,6,15884,1986,728,0,0,-19626,0,-15587,2500
2013_090/238.evt,mean,19923,19923,1323776,1238339,8,15537,667,568,0,0,-35003,0,-33092,2500
2013_090/238.evt,97.5,20067,20067,1323776,1238339,8,15626,670,574,0,0,-50380,0,-50598,2500
2013_090/238.evt,2.5,19796,19796,1323776,1238339,8,15457,661,562,0,0,-19626,0,-15587,2500
2013_091/270.evt,mean,21610,21610,1349376,1241312,6,18254,360,430,0,0,-35003,0,-33092,2500
2013_091/270.evt,97.5,21737,21737,1349376,1241312,6,18342,361,436,0,0,-50380,0,-50598,2500
2013_091/270.evt,2.5,21485,21485,1349376,1241312,5,18176,354,424,0,0,-19626,0,-15587,2500
2013_092/418.evt,mean,24934,24934,1798912,1684030,9,22872,222,216,0,0,-35003,0,-33092,2500
2013_092/418.evt,97.5,25100,25100,1798912,1684030,9,23003,227,218,0,0,-50380,0,-50598,2500
2013_092/418.evt,2.5,24750,24750,1798912,1684030,9,22719,219,215,0,0,-19626,0,-15587,2500
2013_094/321.evt,mean,10081,10081,1513600,1398317,4,1,10,288,0,0,-35003,0,-33092,2500
2013_094/321.evt,97.5,10192,10192,1513600,1398317,4,1,10,291,0,0,-50380,0,-50598,2500
2013_094/321.evt,2.5,9988,9988,1513600,1398317,4,1,10,287,0,0,-19626,0,-15587,2500
2013_096/2.evt,mean,26310,26310,1746875,1669676,7,24444,26,400,0,0,-35003,0,-33092,2500
2013_096/2.evt,97.5,26515,26515,1746875,1669676,7,24625,26,402,0,0,-50380,0,-50598,2500
