sample.ID,Date.Time,file.name,Vol.uL,pro,syn,pico,time
S15surf,4/18/13 3:30,Gwenn.20150416.A.0002.fcs,256.4236559,232.349077899564,13.3841005735384,1.85630299329961,2013-04-18 03:30:00
S3surfA,3/31/13 11:53,Gwenn.20150416.A.0003.fcs,253.164557,130.190024980471,6.11459999908281,2.02239999969664,2013-03-31 11:53:00
S17surf,4/24/13 8:07,Gwenn.20150416.A.0005.fcs,262.2563191,159.967165496604,3.42031796632503,1.54047765707393,2013-04-24 08:07:00
S10surf,4/13/13 0:48,Gwenn.20150416.A.0006.fcs,237.5071173,163.111322474883,1.96204646537555,1.43574644783919,2013-04-13 00:48:00
S13surf,4/16/13 18:13,Gwenn.20150416.A.0007.fcs,243.4274586,140.789376010024,2.76879200019714,1.17488800008365,2013-04-16 18:13:00
S7surfA,4/6/13 0:06,Gwenn.20150416.A.0008.fcs,253.0324878,147.974279214275,1.82980455998188,1.39112571298839,2013-04-06 00:06:00
S9 5m,4/11/13 7:38,Gwenn.20150416.A.0009.fcs,246.6670859,106.222927572194,1.30134913958539,1.24864652645576,2013-04-11 07:38:00
S20surf,4/28/13 19:52,Gwenn.20150416.A.0010.fcs,262.9016553,126.547700743975,2.83375925933168,1.32749259262652,2013-04-28 19:52:00
S5sfcA,4/2/13 21:20,Gwenn.20150416.A.0011.fcs,253.164557,116.984384982452,2.7373499995894,1.13364999982995,2013-04-02 21:20:00
S22surf,5/1/13 14:19,Gwenn.20150416.A.0012.fcs,257.3480732,219.176305843816,7.06824798562354,1.93900810600668,2013-05-01 14:19:00
S19surfA,4/26/13 21:00,Gwenn.20150416.A.0013.fcs,257.7167717,241.539964936632,9.23882440515609,2.2699337576717,2013-04-26 21:00:00
S2surfA,3/29/13 12:38,Gwenn.20150416.A.0014.fcs,262.9016553,114.558046299224,19.2163111116022,3.25597037045358,2013-03-29 12:38:00
S12surf,4/15/13 15:38,Gwenn.20150421.A.0001.fcs,166.0917985,177.920886322391,3.14284031309348,1.56539938966342,2013-04-15 15:38:00
S4surfA,4/1/13 13:40,Gwenn.20150421.A.0002.fcs,214.2161636,144.626341352329,3.20237272702236,1.98397727257216,2013-04-01 13:40:00
S18surf,4/25/13 14:46,Gwenn.20150421.A.0004.fcs,215.5724292,185.202254982986,19.7659784964746,2.23126863572032,2013-04-25 14:46:00
S6surf,4/4/13 18:26,Gwenn.20150421.A.0005.fcs,254.0703149,142.763234714281,1.48384119627822,1.15322405970695,2013-04-04 18:26:00
S16surf,4/22/13 16:17,Gwenn.20150421.A.0007.fcs,253.164557,172.925864974061,5.07574999923864,1.53259999977011,2013-04-22 16:17:00
S19surfcast059,4/27/13 19:38,Gwenn.20150421.A.0008.fcs,257.880745,208.305587142615,7.87961117453728,2.20256847792184,2013-04-27 19:38:00
S11surfA,4/14/13 17:19,Gwenn.20150421.A.0009.fcs,269.7252547,161.11468704825,2.54332876898383,1.33469148226556,2013-04-14 17:19:00
S21surf,4/30/13 11:34,Gwenn.20150421.A.0010.fcs,272.6387537,202.385754963932,5.87590714180997,2.13102499962022,2013-04-30 11:34:00
S14surfA,4/17/13 12:55,Gwenn.20150421.A.0011.fcs,273.0380109,141.890500418966,14.0420009190742,1.88252177162341,2013-04-17 12:55:00
S23.074surf,5/6/13 14:33,Gwenn.20150421.A.0012.fcs,263.6608936,138.571175653483,9.0912230754876,2.76112240256778,2013-05-06 14:33:00
S8_5m_403,4/10/13 2:45,Gwenn.20150421.A.0013.fcs,262.9016553,92.7700511134817,1.28565185188471,1.33510000003412,2013-04-10 02:45:00
