file,beads.d1,beads.d2
2016-04-21T01-15-37-00-00,30528,31392
2016-04-21T15-10-38-00-00,32880,31152
2016-04-23T01-54-41-00-00,31920,30336
2016-04-23T15-22-39-00-00,32464,31168
2016-04-25T01-24-38-00-00,32688,30640
2016-04-25T14-57-14-00-00,32800,31664
2016-04-26T15-07-38-00-00,32976,31568
2016-04-28T03-42-14-00-00,32912,31280
2016-04-28T15-07-06-00-00,32032,30720
2016-04-29T06-50-43-00-00,32896,31936
2016-04-30T15-01-40-00-00,33552,32672
2016-05-01T15-01-42-00-00,33328,32848
2016-05-02T19-27-11-00-00,33952,33568
