file,n.opp,n.evt,n.evt.,beads,pro,syn,pico,origin,offset.small.D1,offset.large.D1,offset.small.D2,offset.large.D2,width,corr
2016-04-21T01-15-37-00-00,1166,1837824,1837824,2,1104,12,4,0,-2500,-68035,-2500,-74908,2500,-2500
2016-04-21T01-15-37-00-00,1310,1837824,1837824,7,1239,12,4,0,-2000,-67535,-2000,-74408,2500,-2000
2016-04-21T01-15-37-00-00,1436,1837824,1837824,10,1354,13,4,0,-1500,-67035,-1500,-73908,2500,-1500
2016-04-21T01-15-37-00-00,1560,1837824,1837824,14,1467,13,5,0,-1000,-66535,-1000,-73408,2500,-1000
2016-04-21T01-15-37-00-00,1686,1837824,1837824,17,1570,14,6,0,-500,-66035,-500,-72908,2500,-500
2016-04-21T01-15-37-00-00,1828,1837824,1837824,25,1687,15,7,0,0,-65535,0,-72408,2500,0
2016-04-21T01-15-37-00-00,1990,1837824,1837824,50,1800,17,11,0,500,-65035,500,-71908,2500,500
2016-04-21T01-15-37-00-00,2184,1837824,1837824,87,1920,17,15,0,1000,-64535,1000,-71408,2500,1000
2016-04-21T01-15-37-00-00,2391,1837824,1837824,133,2028,17,17,0,1500,-64035,1500,-70908,2500,1500
2016-04-21T01-15-37-00-00,2601,1837824,1837824,165,2141,19,23,0,2000,-63535,2000,-70408,2500,2000
2016-04-21T01-15-37-00-00,2826,1837824,1837824,191,2252,22,27,0,2500,-63035,2500,-69908,2500,2500
2016-04-21T15-10-38-00-00,1081,2188800,2188800,3,981,17,5,0,-2500,-68035,-2500,-74908,2500,-2500
2016-04-21T15-10-38-00-00,1331,2188800,2188800,9,1201,18,6,0,-2000,-67535,-2000,-74408,2500,-2000
2016-04-21T15-10-38-00-00,1536,2188800,2188800,10,1380,18,6,0,-1500,-67035,-1500,-73908,2500,-1500
2016-04-21T15-10-38-00-00,1736,2188800,2188800,16,1548,18,7,0,-1000,-66535,-1000,-73408,2500,-1000
2016-04-21T15-10-38-00-00,1955,2188800,2188800,22,1729,18,10,0,-500,-66035,-500,-72908,2500,-500
2016-04-21T15-10-38-00-00,2173,2188800,2188800,40,1886,21,13,0,0,-65535,0,-72408,2500,0
2016-04-21T15-10-38-00-00,2417,2188800,2188800,66,2067,21,17,0,500,-65035,500,-71908,2500,500
2016-04-21T15-10-38-00-00,2688,2188800,2188800,108,2234,23,27,0,1000,-64535,1000,-71408,2500,1000
2016-04-21T15-10-38-00-00,2935,2188800,2188800,144,2384,24,32,0,1500,-64035,1500,-70908,2500,1500
2016-04-21T15-10-38-00-00,3175,2188800,2188800,177,2519,26,37,0,2000,-63535,2000,-70408,2500,2000
2016-04-21T15-10-38-00-00,3427,2188800,2188800,201,2650,26,44,0,2500,-63035,2500,-69908,2500,2500
2016-04-23T01-54-41-00-00,727,1683584,1683584,7,618,52,9,0,-2500,-68035,-2500,-74908,2500,-2500
2016-04-23T01-54-41-00-00,808,1683584,1683584,12,681,59,10,0,-2000,-67535,-2000,-74408,2500,-2000
2016-04-23T01-54-41-00-00,895,1683584,1683584,16,756,61,10,0,-1500,-67035,-1500,-73908,2500,-1500
2016-04-23T01-54-41-00-00,1008,1683584,1683584,18,847,66,12,0,-1000,-66535,-1000,-73408,2500,-1000
