file,i,n.opp,n.opp2,n.evt,n.evt.,beads,pro,syn,pico,origin,offset.small.D1,offset.large.D1,offset.small.D2,offset.large.D2,width
2016-04-21T01-15-37-00-00,mean,1805,1805,1837824,1837824,3,1687,15,6,0,0,-67855,0,-75117,2500
2016-04-21T01-15-37-00-00,97.5,2009,2009,1837824,1837824,79,1792,17,14,0,0,-78570,0,-87031,2500
2016-04-21T01-15-37-00-00,2.5,1680,1680,1837824,1837824,0,1579,14,4,0,0,-57141,0,-63203,2500
2016-04-21T15-10-38-00-00,mean,2133,2133,2188800,2188800,4,1886,21,12,0,0,-67855,0,-75117,2500
2016-04-21T15-10-38-00-00,97.5,2403,2403,2188800,2188800,78,2036,21,29,0,0,-78570,0,-87031,2500
2016-04-21T15-10-38-00-00,2.5,1966,1966,2188800,2188800,1,1765,18,5,0,0,-57141,0,-63203,2500
2016-04-23T01-54-41-00-00,mean,1220,1220,1683584,1683584,24,1019,72,16,0,0,-67855,0,-75117,2500
2016-04-23T01-54-41-00-00,97.5,1386,1386,1683584,1683584,93,1095,79,24,0,0,-78570,0,-87031,2500
2016-04-23T01-54-41-00-00,2.5,1091,1091,1683584,1683584,1,941,65,9,0,0,-57141,0,-63203,2500
2016-04-23T15-22-39-00-00,mean,1391,1391,2049024,2049024,3,1155,83,20,0,0,-67855,0,-75117,2500
2016-04-23T15-22-39-00-00,97.5,1573,1573,2049024,2049024,48,1256,89,33,0,0,-78570,0,-87031,2500
2016-04-23T15-22-39-00-00,2.5,1278,1278,2049024,2049024,0,1083,72,13,0,0,-57141,0,-63203,2500
2016-04-25T01-24-38-00-00,mean,1451,1451,2680192,2680192,11,786,368,63,0,0,-67855,0,-75117,2500
2016-04-25T01-24-38-00-00,97.5,1691,1691,2680192,2680192,82,863,397,92,0,0,-78570,0,-87031,2500
2016-04-25T01-24-38-00-00,2.5,1266,1266,2680192,2680192,1,699,337,36,0,0,-57141,0,-63203,2500
2016-04-25T14-57-14-00-00,mean,847,847,3113600,3113600,9,613,33,58,0,0,-67855,0,-75117,2500
2016-04-25T14-57-14-00-00,97.5,1050,1050,3113600,3113600,58,709,36,90,0,0,-78570,0,-87031,2500
2016-04-25T14-57-14-00-00,2.5,675,675,3113600,3113600,2,508,28,27,0,0,-57141,0,-63203,2500
2016-04-26T15-07-38-00-00,mean,509,509,2955520,2955520,1,127,60,162,0,0,-67855,0,-75117,2500
2016-04-26T15-07-38-00-00,97.5,682,682,2955520,2955520,42,151,73,223,0,0,-78570,0,-87031,2500
2016-04-26T15-07-38-00-00,2.5,398,398,2955520,2955520,0,104,49,111,0,0,-57141,0,-63203,2500
2016-04-28T03-42-14-00-00,mean,367,367,3017856,3017856,1,7,71,105,0,0,-67855,0,-75117,2500
2016-04-28T03-42-14-00-00,97.5,519,519,3017856,3017856,28,8,84,157,0,0,-78570,0,-87031,2500
2016-04-28T03-42-14-00-00,2.5,264,264,3017856,3017856,0,6,56,61,0,0,-57141,0,-63203,2500
2016-04-28T15-07-06-00-00,mean,225,225,3415040,3415040,3,32,14,62,0,0,-67855,0,-75117,2500
2016-04-28T15-07-06-00-00,97.5,317,317,3415040,3415040,21,44,22,81,0,0,-78570,0,-87031,2500
2016-04-28T15-07-06-00-00,2.5,160,160,3415040,3415040,1,24,13,37,0,0,-57141,0,-63203,2500
2016-04-29T06-50-43-00-00,mean,809,809,2653568,2653568,0,108,183,225,0,0,-67855,0,-75117,2500
2016-04-29T06-50-43-00-00,97.5,1012,1012,2653568,2653568,5,132,215,323,0,0,-78570,0,-87031,2500
2016-04-29T06-50-43-00-00,2.5,638,638,2653568,2653568,0,94,149,158,0,0,-57141,0,-63203,2500
2016-04-30T15-01-40-00-00,mean,671,671,3082624,3082624,1,371,113,68,0,0,-67855,0,-75117,2500
2016-04-30T15-01-40-00-00,97.5,859,859,3082624,3082624,9,448,131,128,0,0,-78570,0,-87031,2500
2016-04-30T15-01-40-00-00,2.5,542,542,3082624,3082624,0,311,95,36,0,0,-57141,0,-63203,2500
2016-05-01T15-01-42-00-00,mean,1307,1307,2156032,2156032,3,1036,93,10,0,0,-67855,0,-75117,2500
2016-05-01T15-01-42-00-00,97.5,1470,1470,2156032,2156032,4,1148,101,18,0,0,-78570,0,-87031,2500
2016-05-01T15-01-42-00-00,2.5,1153,1153,2156032,2156032,0,936,75,7,0,0,-57141,0,-63203,2500
2016-05-02T19-27-11-00-00,mean,1559,1559,1913984,1913984,0,1329,85,5,0,0,-67855,0,-75117,2500
2016-05-02T19-27-11-00-00,97.5,1688,1688,1913984,1913984,1,1427,90,14,0,0,-78570,0,-87031,2500
2016-05-02T19-27-11-00-00,2.5,1432,1432,1913984,1913984,0,1239,75,2,0,0,-57141,0,-63203,2500
