SeaFlow_ID,file,sfl_time,sfl_abund_pro,sfl_abund_syn,sfl_abund_peuk,HOT_ID,HOT_datetime,HOT_abund_pro,HOT_abund_syn,HOT_abund_peuk
SCOPE_3,2015_143/2015-05-23T12-51-33+00-00,5/23/15 12:51,140.7337621,1.074455415,1.619160823,HOT-272,5/23/15 12:52,182.8,1.6,0.9
SCOPE_4,2015_170/2015-06-19T10-23-06+00-00,6/19/15 10:23,132.426215,1.746815953,0.594091536,HOT-273,6/19/15 12:51,183.8,1.6,0.9
SCOPE_5,2015_200/2015-07-19T13-28-56+00-00,7/19/15 13:28,146.8933816,0.76387291,0.842896667,HOT-274,7/19/15 13:28,184.9,1.1,0.4
SCOPE_10,2015_286/2015-10-13T12-53-18+00-00,10/13/15 12:53,138.5975364,0.968326795,2.780023723,HOT-277,10/13/15 12:51,280.7,1,0.8
SCOPE_12,2016_012/2016-01-12T13-13-03+00-00,1/12/16 13:13,177.7963235,1.206881613,1.259084963,HOT-280,1/12/16 13:13,219.9,1.7,0.9
SCOPE_13,2016_040/2016-02-09T13-04-06+00-00,2/9/16 13:04,140.347113,1.98445227,1.344931573,HOT-281,2/9/16 13:04,204.5,1.3,1.2
SCOPE_14,2016_068/2016-03-08T12-55-56+00-00,3/8/16 12:55,158.0279023,1.148577339,1.182601794,HOT-282,3/8/16 12:56,262.3,2.2,1.4
SCOPE_15,2016_106/2016-04-15T13-08-38+00-00,4/15/16 13:08,114.4676505,1.451898154,2.078566942,HOT-283,4/15/16 13:07,148.4,1.1,0.7
SCOPE_18,2016_193/2016-07-11T13-43-51-00-00,7/11/16 13:43,91.2697501,1.397250001,6.140554001,HOT-285,7/11/16 13:46,219.7,0.9,0.8
SCOPE_19,2016_223/2016-08-10T13-10-38-00-00,8/10/16 13:10,101.9175453,1.642645065,2.727666058,HOT-286,8/10/16 13:11,200.1,0.9,0.6
