file,beads.d1,beads.d2
264.evt,27376,26528
269.evt,26272,26896
275.evt,26672,25584
74.evt,25984,25744
75.evt,27424,26672
79.evt,25264,25136
11.evt,25808,24480
18.evt,26000,25520
30.evt,25296,24656
333.evt,26256,25792
450.evt,26048,25760
460.evt,26224,25776
470.evt,26096,25136
191.evt,26752,25920
207.evt,25776,26016
224.evt,26208,25264
322.evt,27184,25872
330.evt,26528,25872
340.evt,26512,24304
455.evt,25888,25184
468.evt,26848,25312
478.evt,26016,25136
273.evt,25776,25104
274.evt,26064,25888
275.evt,26608,27552
102.evt,25712,24032
17.evt,24960,23488
22.evt,25584,24368
26.evt,25248,24048
412.evt,24464,23600
418.evt,25024,23904
422.evt,25280,24352
61.evt,24464,23472
66.evt,23856,23808
71.evt,24736,23872
93.evt,25808,24992
98.evt,25936,24960
353.evt,24784,23040
355.evt,24368,25104
357.evt,24288,23152
353.evt,25712,24096
354.evt,25840,24560
356.evt,23744,23648
430.evt,25488,24912
431.evt,25984,24528
432.evt,26432,24960
446.evt,25600,25328
450.evt,26336,25216
455.evt,25520,23056
