file,n.opp,n.evt,n.evt.,beads,pro,syn,pico,origin,offset.small.D1,offset.large.D1,offset.small.D2,offset.large.D2,width,corr
2011_274/264.evt,7906,3073152,3073143,2,339,3787,2238,128,349,-38592,-349,-37539,2500,-1584
2011_274/264.evt,314219,3073152,3073143,2,6238,13482,5482,128,18765,-20176,18067,-19123,2500,-20000
2011_274/264.evt,234174,3073152,3073143,2,5359,12356,5000,128,16265,-22676,15567,-21623,2500,-17500
2011_274/264.evt,149107,3073152,3073143,2,4457,11335,4503,128,13765,-25176,13067,-24123,2500,-15000
2011_274/264.evt,82496,3073152,3073143,2,3499,10287,4112,128,11265,-27676,10567,-26623,2500,-12500
2011_274/264.evt,45417,3073152,3073143,2,2556,9034,3722,128,8765,-30176,8067,-29123,2500,-10000
2011_274/264.evt,26230,3073152,3073143,2,1711,7538,3311,128,6265,-32676,5567,-31623,2500,-7500
2011_274/264.evt,15171,3073152,3073143,2,983,5942,2871,128,3765,-35176,3067,-34123,2500,-5000
2011_274/264.evt,9207,3073152,3073143,2,471,4382,2424,128,1265,-37676,567,-36623,2500,-2500
2011_274/264.evt,6071,3073152,3073143,2,209,2866,1869,128,-1235,-40176,-1933,-39123,2500,0
2011_274/264.evt,3533,3073152,3073143,1,83,1636,1238,128,-3735,-42676,-4433,-41623,2500,2500
2011_274/264.evt,1639,3073152,3073143,0,21,791,570,128,-6235,-45176,-6933,-44123,2500,5000
2011_274/264.evt,553,3073152,3073143,0,3,327,153,128,-8735,-47676,-9433,-46623,2500,7500
2011_274/264.evt,153,3073152,3073143,0,0,104,27,128,-11235,-50176,-11933,-49123,2500,10000
2011_274/264.evt,25,3073152,3073143,0,0,20,3,128,-13735,-52676,-14433,-51623,2500,12500
2011_274/269.evt,8074,3075968,3075958,1,391,3891,2152,128,349,-38592,-349,-37539,2500,-1584
2011_274/269.evt,313076,3075968,3075958,3,6227,13661,4874,128,18765,-20176,18067,-19123,2500,-20000
2011_274/269.evt,233261,3075968,3075958,3,5382,12501,4521,128,16265,-22676,15567,-21623,2500,-17500
2011_274/269.evt,148881,3075968,3075958,3,4468,11455,4113,128,13765,-25176,13067,-24123,2500,-15000
2011_274/269.evt,81937,3075968,3075958,3,3570,10372,3785,128,11265,-27676,10567,-26623,2500,-12500
2011_274/269.evt,45348,3075968,3075958,3,2644,9134,3463,128,8765,-30176,8067,-29123,2500,-10000
2011_274/269.evt,26403,3075968,3075958,3,1782,7614,3149,128,6265,-32676,5567,-31623,2500,-7500
2011_274/269.evt,15260,3075968,3075958,2,1002,5992,2774,128,3765,-35176,3067,-34123,2500,-5000
2011_274/269.evt,9300,3075968,3075958,1,502,4447,2333,128,1265,-37676,567,-36623,2500,-2500
2011_274/269.evt,6123,3075968,3075958,1,242,2920,1809,128,-1235,-40176,-1933,-39123,2500,0
2011_274/269.evt,3535,3075968,3075958,0,92,1651,1174,128,-3735,-42676,-4433,-41623,2500,2500
2011_274/269.evt,1560,3075968,3075958,0,28,763,518,128,-6235,-45176,-6933,-44123,2500,5000
2011_274/269.evt,509,3075968,3075958,0,3,302,132,128,-8735,-47676,-9433,-46623,2500,7500
2011_274/269.evt,123,3075968,3075958,0,0,87,27,128,-11235,-50176,-11933,-49123,2500,10000
2011_274/269.evt,21,3075968,3075958,0,0,19,2,128,-13735,-52676,-14433,-51623,2500,12500
2011_274/275.evt,7535,3091584,3091581,0,320,2863,2997,176,349,-38592,-349,-37539,2500,-1584
2011_274/275.evt,292440,3091584,3091581,0,42029,12035,8025,176,18765,-20176,18067,-19123,2500,-20000
2011_274/275.evt,213597,3091584,3091581,0,31379,10857,7328,176,16265,-22676,15567,-21623,2500,-17500
2011_274/275.evt,133372,3091584,3091581,0,20753,9803,6703,176,13765,-25176,13067,-24123,2500,-15000
2011_274/275.evt,72818,3091584,3091581,0,11992,8768,6086,176,11265,-27676,10567,-26623,2500,-12500
2011_274/275.evt,40346,3091584,3091581,0,6482,7558,5459,176,8765,-30176,8067,-29123,2500,-10000
2011_274/275.evt,23748,3091584,3091581,0,3268,6173,4806,176,6265,-32676,5567,-31623,2500,-7500
2011_274/275.evt,14124,3091584,3091581,0,1382,4707,4102,176,3765,-35176,3067,-34123,2500,-5000
2011_274/275.evt,8796,3091584,3091581,0,470,3345,3344,176,1265,-37676,567,-36623,2500,-2500
2011_274/275.evt,5657,3091584,3091581,0,154,2098,2435,176,-1235,-40176,-1933,-39123,2500,0
2011_274/275.evt,3250,3091584,3091581,0,53,1101,1588,176,-3735,-42676,-4433,-41623,2500,2500
2011_274/275.evt,1471,3091584,3091581,0,7,485,757,176,-6235,-45176,-6933,-44123,2500,5000
2011_274/275.evt,497,3091584,3091581,0,0,172,243,176,-8735,-47676,-9433,-46623,2500,7500
2011_274/275.evt,107,3091584,3091581,0,0,42,54,176,-11235,-50176,-11933,-49123,2500,10000
2011_274/275.evt,16,3091584,3091581,0,0,8,8,176,-13735,-52676,-14433,-51623,2500,12500
2011_274/74.evt,8056,3381248,3381244,2,150,4761,1953,-720,349,-38592,-349,-37539,2500,-1584
2011_274/74.evt,235636,3381248,3381244,2,3801,26924,5363,-720,18765,-20176,18067,-19123,2500,-20000
2011_274/74.evt,165657,3381248,3381244,2,3067,23290,4899,-720,16265,-22676,15567,-21623,2500,-17500
2011_274/74.evt,99760,3381248,3381244,2,2451,20306,4419,-720,13765,-25176,13067,-24123,2500,-15000
2011_274/74.evt,55418,3381248,3381244,2,1877,17576,4041,-720,11265,-27676,10567,-26623,2500,-12500
2011_274/74.evt,32927,3381248,3381244,2,1302,14722,3598,-720,8765,-30176,8067,-29123,2500,-10000
2011_274/74.evt,21704,3381248,3381244,2,826,11608,3193,-720,6265,-32676,5567,-31623,2500,-7500
2011_274/74.evt,14534,3381248,3381244,2,457,8530,2717,-720,3765,-35176,3067,-34123,2500,-5000
2011_274/74.evt,9555,3381248,3381244,2,206,5698,2197,-720,1265,-37676,567,-36623,2500,-2500
2011_274/74.evt,5781,3381248,3381244,2,74,3342,1536,-720,-1235,-40176,-1933,-39123,2500,0
2011_274/74.evt,2943,3381248,3381244,1,24,1604,917,-720,-3735,-42676,-4433,-41623,2500,2500
2011_274/74.evt,1207,3381248,3381244,1,8,645,404,-720,-6235,-45176,-6933,-44123,2500,5000
2011_274/74.evt,355,3381248,3381244,0,2,215,92,-720,-8735,-47676,-9433,-46623,2500,7500
2011_274/74.evt,73,3381248,3381244,0,0,53,12,-720,-11235,-50176,-11933,-49123,2500,10000
2011_274/75.evt,8029,3388416,3388414,2,154,4710,2038,-704,349,-38592,-349,-37539,2500,-1584
2011_274/75.evt,235109,3388416,3388414,3,4276,25958,6259,-704,18765,-20176,18067,-19123,2500,-20000
2011_274/75.evt,165158,3388416,3388414,3,3449,22527,5661,-704,16265,-22676,15567,-21623,2500,-17500
2011_274/75.evt,99178,3388416,3388414,3,2709,19778,5099,-704,13765,-25176,13067,-24123,2500,-15000
2011_274/75.evt,54749,3388416,3388414,2,1984,17223,4580,-704,11265,-27676,10567,-26623,2500,-12500
2011_274/75.evt,32603,3388416,3388414,2,1380,14448,4058,-704,8765,-30176,8067,-29123,2500,-10000
2011_274/75.evt,21328,3388416,3388414,2,890,11382,3499,-704,6265,-32676,5567,-31623,2500,-7500
2011_274/75.evt,14301,3388416,3388414,2,484,8342,2904,-704,3765,-35176,3067,-34123,2500,-5000
2011_274/75.evt,9493,3388416,3388414,2,212,5615,2298,-704,1265,-37676,567,-36623,2500,-2500
2011_274/75.evt,5750,3388416,3388414,2,86,3300,1602,-704,-1235,-40176,-1933,-39123,2500,0
2011_274/75.evt,2992,3388416,3388414,2,26,1635,927,-704,-3735,-42676,-4433,-41623,2500,2500
2011_274/75.evt,1187,3388416,3388414,0,7,655,377,-704,-6235,-45176,-6933,-44123,2500,5000
2011_274/75.evt,318,3388416,3388414,0,1,192,85,-704,-8735,-47676,-9433,-46623,2500,7500
2011_274/75.evt,53,3388416,3388414,0,0,38,11,-704,-11235,-50176,-11933,-49123,2500,10000
2011_274/79.evt,8197,3354368,3354366,3,156,4770,2151,-1280,349,-38592,-349,-37539,2500,-1584
2011_274/79.evt,236159,3354368,3354366,3,4467,25402,6399,-1280,18765,-20176,18067,-19123,2500,-20000
2011_274/79.evt,165408,3354368,3354366,3,3588,22080,5782,-1280,16265,-22676,15567,-21623,2500,-17500
2011_274/79.evt,100825,3354368,3354366,3,2818,19398,5191,-1280,13765,-25176,13067,-24123,2500,-15000
2011_274/79.evt,56282,3354368,3354366,3,2107,16943,4687,-1280,11265,-27676,10567,-26623,2500,-12500
2011_274/79.evt,33343,3354368,3354366,3,1468,14335,4152,-1280,8765,-30176,8067,-29123,2500,-10000
2011_274/79.evt,21668,3354368,3354366,3,911,11372,3603,-1280,6265,-32676,5567,-31623,2500,-7500
2011_274/79.evt,14625,3354368,3354366,3,489,8510,3013,-1280,3765,-35176,3067,-34123,2500,-5000
2011_274/79.evt,9696,3354368,3354366,3,207,5709,2408,-1280,1265,-37676,567,-36623,2500,-2500
2011_274/79.evt,5838,3354368,3354366,2,77,3308,1669,-1280,-1235,-40176,-1933,-39123,2500,0
2011_274/79.evt,3044,3354368,3354366,0,30,1626,1001,-1280,-3735,-42676,-4433,-41623,2500,2500
2011_274/79.evt,1242,3354368,3354366,0,4,652,420,-1280,-6235,-45176,-6933,-44123,2500,5000
