file,i,n.opp,n.opp2,n.evt,n.evt.,beads,pro,syn,pico,origin,offset.small.D1,offset.large.D1,offset.small.D2,offset.large.D2,width
2011_274/264.evt,mean,8126,8126,3073152,3073143,2,356,3822,2331,0,0,-31943,0,-30507,2500
2011_274/264.evt,2.5,8826,8681,3073152,3073143,2,446,4100,2351,0,1077,-18798,942,-15702,2500
2011_274/264.evt,97.5,7626,7626,3073152,3073143,2,284,3558,2309,0,-1076,-45133,-942,-45267,2500
2011_274/269.evt,mean,8239,8239,3075968,3075958,1,386,3912,2270,0,0,-31943,0,-30507,2500
2011_274/269.evt,2.5,8911,8795,3075968,3075958,1,471,4187,2275,0,1077,-18798,942,-15702,2500
2011_274/269.evt,97.5,7717,7717,3075968,3075958,2,329,3609,2247,0,-1076,-45133,-942,-45267,2500
2011_274/275.evt,mean,7773,7773,3091584,3091581,0,311,2897,3146,0,0,-31943,0,-30507,2500
2011_274/275.evt,2.5,8393,8307,3091584,3091581,0,433,3143,3216,0,1077,-18798,942,-15702,2500
2011_274/275.evt,97.5,7263,7263,3091584,3091581,0,222,2649,3076,0,-1076,-45133,-942,-45267,2500
2011_274/74.evt,mean,8503,8503,3381248,3381244,2,148,4850,2244,0,0,-31943,0,-30507,2500
2011_274/74.evt,2.5,9070,9061,3381248,3381244,2,198,5332,2184,0,1077,-18798,942,-15702,2500
2011_274/74.evt,97.5,7973,7973,3381248,3381244,2,114,4411,2282,0,-1076,-45133,-942,-45267,2500
2011_274/75.evt,mean,8426,8426,3388416,3388414,2,166,4750,2334,0,0,-31943,0,-30507,2500
2011_274/75.evt,2.5,9025,9005,3388416,3388414,2,204,5269,2262,0,1077,-18798,942,-15702,2500
2011_274/75.evt,97.5,7894,7894,3388416,3388414,2,125,4335,2348,0,-1076,-45133,-942,-45267,2500
2011_274/79.evt,mean,8554,8554,3354368,3354366,3,145,4825,2407,0,0,-31943,0,-30507,2500
2011_274/79.evt,2.5,9119,9102,3354368,3354366,3,184,5276,2361,0,1077,-18798,942,-15702,2500
2011_274/79.evt,97.5,7981,7981,3354368,3354366,3,110,4395,2397,0,-1076,-45133,-942,-45267,2500
2011_275/11.evt,mean,11226,11226,2109056,2108160,2,6207,1591,1474,0,0,-31943,0,-30507,2500
2011_275/11.evt,2.5,19499,11976,2109056,2108160,2,6716,1629,1436,0,1077,-18798,942,-15702,2500
2011_275/11.evt,97.5,10495,10495,2109056,2108160,2,5703,1545,1496,0,-1076,-45133,-942,-45267,2500
2011_275/18.evt,mean,11386,11386,2154779,2153869,1,6743,1728,1401,0,0,-31943,0,-30507,2500
2011_275/18.evt,2.5,20106,12170,2154779,2153869,1,7328,1776,1368,0,1077,-18798,942,-15702,2500
2011_275/18.evt,97.5,10661,10661,2154779,2153869,1,6176,1674,1430,0,-1076,-45133,-942,-45267,2500
2011_275/30.evt,mean,10242,10242,2175488,2175111,2,5491,1473,1427,0,0,-31943,0,-30507,2500
2011_275/30.evt,2.5,14675,10953,2175488,2175111,2,5991,1527,1395,0,1077,-18798,942,-15702,2500
2011_275/30.evt,97.5,9588,9588,2175488,2175111,2,5005,1427,1444,0,-1076,-45133,-942,-45267,2500
2011_275/333.evt,mean,9204,9204,2446848,2446619,3,1412,2775,3140,0,0,-31943,0,-30507,2500
2011_275/333.evt,2.5,12127,9804,2446848,2446619,3,1606,2910,3137,0,1077,-18798,942,-15702,2500
2011_275/333.evt,97.5,8660,8660,2446848,2446619,3,1236,2610,3140,0,-1076,-45133,-942,-45267,2500
2011_275/450.evt,mean,14868,14868,3011456,3003613,0,1531,281,394,0,0,-31943,0,-30507,2500
2011_275/450.evt,2.5,73402,16559,3011456,3003613,0,1602,289,384,0,1077,-18798,942,-15702,2500
2011_275/450.evt,97.5,13265,13265,3011456,3003613,0,1447,278,396,0,-1076,-45133,-942,-45267,2500
2011_275/460.evt,mean,15177,15177,3029376,3022849,5,12428,338,707,0,0,-31943,0,-30507,2500
2011_275/460.evt,2.5,70374,16829,3029376,3022849,5,13737,344,695,0,1077,-18798,942,-15702,2500
2011_275/460.evt,97.5,13704,13704,3029376,3022849,5,11076,332,714,0,-1076,-45133,-942,-45267,2500
2011_275/470.evt,mean,14845,14845,3008000,3001531,2,12382,288,723,0,0,-31943,0,-30507,2500
2011_275/470.evt,2.5,69272,16564,3008000,3001531,2,13866,297,709,0,1077,-18798,942,-15702,2500
2011_275/470.evt,97.5,13366,13366,3008000,3001531,2,10965,283,727,0,-1076,-45133,-942,-45267,2500
2011_276/191.evt,mean,14793,14793,2780928,2774350,2,11612,271,694,0,0,-31943,0,-30507,2500
2011_276/191.evt,2.5,62258,16402,2780928,2774350,2,12631,276,672,0,1077,-18798,942,-15702,2500
2011_276/191.evt,97.5,13273,13273,2780928,2774350,2,10430,263,695,0,-1076,-45133,-942,-45267,2500
2011_276/207.evt,mean,14708,14708,2777472,2770380,1,11477,210,717,0,0,-31943,0,-30507,2500
2011_276/207.evt,2.5,63285,16412,2777472,2770380,1,12673,216,703,0,1077,-18798,942,-15702,2500
2011_276/207.evt,97.5,13157,13157,2777472,2770380,1,10152,204,721,0,-1076,-45133,-942,-45267,2500
2011_276/224.evt,mean,14160,14160,2752882,2745368,2,11021,264,696,0,0,-31943,0,-30507,2500
2011_276/224.evt,2.5,63159,15899,2752882,2745368,2,13653,268,676,0,1077,-18798,942,-15702,2500
2011_276/224.evt,97.5,12595,12595,2752882,2745368,2,9553,256,699,0,-1076,-45133,-942,-45267,2500
2011_276/322.evt,mean,14581,14581,2675072,2665081,5,11700,214,731,0,0,-31943,0,-30507,2500
2011_276/322.evt,2.5,77417,16452,2675072,2665081,4,13401,216,723,0,1077,-18798,942,-15702,2500
2011_276/322.evt,97.5,12877,12877,2675072,2665081,5,10075,210,731,0,-1076,-45133,-942,-45267,2500
2011_276/330.evt,mean,15025,15025,2679552,2670137,1,12239,207,734,0,0,-31943,0,-30507,2500
2011_276/330.evt,2.5,76224,16855,2679552,2670137,1,60342,207,726,0,1077,-18798,942,-15702,2500
2011_276/330.evt,97.5,13326,13326,2679552,2670137,1,10604,200,738,0,-1076,-45133,-942,-45267,2500
