V1,V2
31440.6741583547,40271.2158045433
18432.3106295905,24393.3355179583
16016.5306147888,16758.7511161435
19662.4289296716,8933.91544475105
29969.4820036377,9139.90526217709
40163.3311952937,16553.6870956498
29606.0379604319,9114.9087450063
19870.5040817718,9064.45281219856
15811.6636698796,16949.9281826535
18467.1425933782,24714.5870534496
30876.9463233697,40396.1983903973
46819.444485934,60319.3483724567
53719.3815230881,56351.8456192915
50935.1159966377,51207.1920667681
42190.4598246749,53394.8502176792
