,,,5 meters,,,10 meters,,,SeaFlow,,,,,
,Station,Cast,Pro/ml,Syn/ml,Euks/ml,Pro/ml,Syn/ml,Euks/ml,Pro/ml,Syn/ml,Euks/ml,evt-file,day,
,67-60,5,14336,180717,38096,12685,167183,36122,15511,180949,42582,74,2011_274,
,67-70,7,63698,94868,20968,60815,123474,29348,42224,109722,39377,264,2011_274,
,67-80,10,144843,22414,7419,144319,23038,7442,144204,30913,17844,11,2011_275,
,67-90,14,80834,51454,22893,98362,84860,28938,73200,65426,41046,333,2011_275,
,67-100,16,169345,2934,3286,171097,3157,3374,282897,5322,7851,450,2011_275,
,67-115,19,194984,2435,3516,175238,2404,3159,294349,4082,7846,191,2011_276,
,67-125,20,182413,1978,2933,183814,1937,3224,284877,3289,7722,322,2011_276,
,67-135,22,210651,2473,1741,198772,2447,1626,271360,4073,3877,455,2011_276,
,67-135 D03,26,145412,2347,1424,,,,290648,4338,17787,273,2011_277,
,67-90 F01,48,104458,39004,13942,103293,39682,14479,77355,51513,23675,17,2011_280,
,67-90 F03,50,88153,39997,15955,87541,40876,16395,89815,50277,26297,61,211_280,
,67-90 F04,51,143825,15169,6313,142523,14409,6153,173539,22831,12355,93,2011_280,
,67-70,53,37992,94627,37189,38604,92317,37369,30577,102151,47477,412,2011_280,
,67-70 D06,59,30022,80293,35585,,,,19719,59128,46793,353,2011_281,
,67-70 D15,68,81520,124319,30020,,,,31515,85797,36273,353,2011_282,
,67-70 D17,70,77076,113497,27557,,,,35933,86704,33053,430,2011_282,
cast 71,67-70 D18,71,82941,108167,28521,,,,35231,86024,33015,446,2011_282,
