cast,pro,syn,picoeuks,file
5,14336,180717,38096,2011_274/74.evt
5,14336,180717,38096,2011_274/75.evt
5,14336,180717,38096,2011_274/79.evt
7,63698,94868,20968,2011_274/264.evt
7,63698,94868,20968,2011_274/269.evt
7,63698,94868,20968,2011_274/275.evt
10,144843,22414,7419,2011_275/11.evt
10,144843,22414,7419,2011_275/18.evt
10,144843,22414,7419,2011_275/30.evt
14,80834,51454,22893,2011_275/333.evt
16,169345,2934,3286,2011_275/450.evt
16,169345,2934,3286,2011_275/460.evt
16,169345,2934,3286,2011_275/470.evt
19,194984,2435,3516,2011_276/191.evt
19,194984,2435,3516,2011_276/207.evt
19,194984,2435,3516,2011_276/224.evt
20,182413,1978,2933,2011_276/322.evt
20,182413,1978,2933,2011_276/330.evt
20,182413,1978,2933,2011_276/340.evt
22,210651,2473,1741,2011_276/455.evt
22,210651,2473,1741,2011_276/468.evt
22,210651,2473,1741,2011_276/478.evt
26,145412,2347,1424,2011_277/273.evt
26,145412,2347,1424,2011_277/274.evt
26,145412,2347,1424,2011_277/275.evt
48,104458,39004,13942,2011_280/17.evt
48,104458,39004,13942,2011_280/22.evt
48,104458,39004,13942,2011_280/26.evt
50,88153,39997,15955,2011_280/61.evt
50,88153,39997,15955,2011_280/66.evt
50,88153,39997,15955,2011_280/71.evt
51,143825,15169,6313,2011_280/93.evt
51,143825,15169,6313,2011_280/98.evt
51,143825,15169,6313,2011_280/102.evt
53,37992,94627,37189,2011_280/412.evt
53,37992,94627,37189,2011_280/418.evt
53,37992,94627,37189,2011_280/422.evt
59,30022,80293,35585,2011_281/353.evt
59,30022,80293,35585,2011_281/355.evt
59,30022,80293,35585,2011_281/357.evt
68,81520,124319,30020,2011_282/353.evt
68,81520,124319,30020,2011_282/354.evt
68,81520,124319,30020,2011_282/356.evt
70,77076,113497,27557,2011_282/430.evt
70,77076,113497,27557,2011_282/431.evt
70,77076,113497,27557,2011_282/432.evt
71,82941,108167,28521,2011_282/446.evt
71,82941,108167,28521,2011_282/450.evt
71,82941,108167,28521,2011_282/455.evt
