file,n.opp,n.opp.,n.evt,n.evt.,beads,pro,syn,pico,width,corr,offset.small.D1,offset.small.D2,offset.large.D1,offset.large.D2,notch.small.D1,notch.small.D2,notch.large.D1,notch.large.D2
2011_274/264.evt,3000,3000,3073152,3073143,0,32,1297,1189,5000,0,-6014,-6320,-38629,-37469,0.658,0.657,1.37,1.337
2011_274/264.evt,6392,6392,3073152,3073143,1,129,2781,2404,5000,2500,-3514,-3820,-36129,-34969,0.658,0.657,1.37,1.337
2011_274/264.evt,10710,10710,3073152,3073143,2,325,4895,3502,5000,5000,-1014,-1320,-33629,-32469,0.658,0.657,1.37,1.337
2011_274/264.evt,16243,16011,3073152,3073143,2,781,7506,4409,5000,7500,1486,1180,-31129,-29969,0.658,0.657,1.37,1.337
2011_274/264.evt,26100,22469,3073152,3073143,2,1637,10278,5224,5000,10000,3986,3680,-28629,-27469,0.658,0.657,1.37,1.337
2011_274/264.evt,12782,12782,3073152,3073143,2,505,6045,3725,5000,1,0,0,-38628,-37468,0.658,0.657,1.37,1.337
2011_274/264.evt,5768,5768,3073152,3073143,0,230,2925,1586,5000,2,0,0,-38627,-37467,0.526720223541739,0.51903597624869,1.37,1.337
2011_274/264.evt,8956,8956,3073152,3073143,1,330,4194,2778,5000,3,0,0,-36129,-34969,0.581295843520782,0.581295843520782,1.37,1.337
2011_274/264.evt,3311,3311,3073152,3073143,0,169,1889,666,5000,4,0,0,-41129,-39969,0.472144603562696,0.464460356269647,1.37,1.337
2011_274/269.evt,2943,2943,3075968,3075958,0,39,1301,1150,5000,0,-6014,-6320,-38629,-37469,0.658,0.657,1.37,1.337
2011_274/269.evt,6386,6386,3075968,3075958,1,142,2818,2352,5000,2500,-3514,-3820,-36129,-34969,0.658,0.657,1.37,1.337
2011_274/269.evt,10726,10726,3075968,3075958,2,376,4961,3389,5000,5000,-1014,-1320,-33629,-32469,0.658,0.657,1.37,1.337
2011_274/269.evt,16207,16007,3075968,3075958,3,866,7598,4206,5000,7500,1486,1180,-31129,-29969,0.658,0.657,1.37,1.337
2011_274/269.evt,26111,22573,3075968,3075958,3,1733,10443,4962,5000,10000,3986,3680,-28629,-27469,0.658,0.657,1.37,1.337
2011_274/269.evt,12802,12802,3075968,3075958,2,550,6171,3555,5000,1,0,0,-38628,-37468,0.658,0.657,1.37,1.337
2011_274/269.evt,5802,5802,3075968,3075958,0,271,2969,1512,5000,2,0,0,-38627,-37467,0.526720223541739,0.51903597624869,1.37,1.337
2011_274/269.evt,8976,8976,3075968,3075958,1,368,4271,2664,5000,3,0,0,-36129,-34969,0.581295843520782,0.581295843520782,1.37,1.337
2011_274/269.evt,3373,3373,3075968,3075958,0,180,1951,638,5000,4,0,0,-41129,-39969,0.472144603562696,0.464460356269647,1.37,1.337
2011_274/275.evt,2734,2734,3091584,3091581,0,12,812,1465,5000,0,-6014,-6320,-38629,-37469,0.658,0.657,1.37,1.337
2011_274/275.evt,5985,5985,3091584,3091581,1,76,1917,3003,5000,2500,-3514,-3820,-36129,-34969,0.658,0.657,1.37,1.337
2011_274/275.evt,10067,10067,3091584,3091581,1,246,3585,4438,5000,5000,-1014,-1320,-33629,-32469,0.658,0.657,1.37,1.337
2011_274/275.evt,15467,15302,3091584,3091581,1,757,5715,5969,5000,7500,1486,1180,-31129,-29969,0.658,0.657,1.37,1.337
2011_274/275.evt,24410,21691,3091584,3091581,1,2294,8165,7294,5000,10000,3986,3680,-28629,-27469,0.658,0.657,1.37,1.337
2011_274/275.evt,12123,12122,3091584,3091581,0,432,4526,4940,5000,1,0,0,-38628,-37468,0.658,0.657,1.37,1.337
2011_274/275.evt,5301,5301,3091584,3091581,0,195,2070,2153,5000,2,0,0,-38627,-37467,0.526720223541739,0.51903597624869,1.37,1.337
2011_274/275.evt,8342,8342,3091584,3091581,1,278,3024,3586,5000,3,0,0,-36129,-34969,0.581295843520782,0.581295843520782,1.37,1.337
2011_274/275.evt,3017,3017,3091584,3091581,0,148,1300,1078,5000,4,0,0,-41129,-39969,0.472144603562696,0.464460356269647,1.37,1.337
2011_274/74.evt,2429,2429,3381248,3381244,2,13,1088,1012,5000,0,-6014,-6320,-38629,-37469,0.658,0.657,1.37,1.337
2011_274/74.evt,5816,5816,3381248,3381244,3,45,2761,2196,5000,2500,-3514,-3820,-36129,-34969,0.658,0.657,1.37,1.337
2011_274/74.evt,10670,10670,3381248,3381244,3,131,5730,3291,5000,5000,-1014,-1320,-33629,-32469,0.658,0.657,1.37,1.337
2011_274/74.evt,17029,17008,3381248,3381244,3,358,9814,4245,5000,7500,1486,1180,-31129,-29969,0.658,0.657,1.37,1.337
2011_274/74.evt,25499,24772,3381248,3381244,3,797,14700,5076,5000,10000,3986,3680,-28629,-27469,0.658,0.657,1.37,1.337
2011_274/74.evt,12779,12777,3381248,3381244,3,219,7480,3202,5000,1,0,0,-38628,-37468,0.658,0.657,1.37,1.337
2011_274/74.evt,5086,5086,3381248,3381244,2,76,3045,1287,5000,2,0,0,-38627,-37467,0.526720223541739,0.51903597624869,1.37,1.337
2011_274/74.evt,8494,8494,3381248,3381244,3,117,4744,2455,5000,3,0,0,-36129,-34969,0.581295843520782,0.581295843520782,1.37,1.337
