time_GMT,lon_decW,lat_decN,station,depth_m,population,fsc,chl,ssc,pe,abundance_cells.uL,sd.fsc,sd.chl,sd.ssc,sd.pe,sd.abundance
5/29/17 7:26,-158.01333,25.76833,2,15,picoeuk,1.02722,12.58629,0.43836,0.01046,0.670726,0.02182,0.21929,0.02113,0.00249,0.06172
5/29/17 7:26,-158.01333,25.76833,2,15,prochloro,0.03374,0.37324,0.10767,0.00193,86.71759,0.00016,0.00309,0.00057,0.00017,2.04015
5/29/17 7:26,-158.01333,25.76833,2,15,synecho,0.2186,0.32642,0.41451,0.2153,0.4387,0.17577,0.16752,0.12341,0.16387,0.03031
5/29/17 7:26,-158.01333,25.76833,2,15,bacteria,0.00124,0.03657,0.0164,0.01375,207.36902,1.00E-05,0.0014,5.00E-05,0.00036,5.93999
5/29/17 7:26,-158.01333,25.76833,2,25,picoeuk,0.93928,9.76307,0.42287,0.0152,0.381022,0.05381,0.04534,0.01372,0.01188,0.4505
5/29/17 7:26,-158.01333,25.76833,2,25,prochloro,0.03538,0.37794,0.1099,0.00232,86.17965,0.00032,0.0137,0.00288,0.00104,1.70934
5/29/17 7:26,-158.01333,25.76833,2,25,synecho,0.20137,3.85998,0.12019,1.12174,0.2753,0.02523,0.36243,0.03259,0.07314,0.01814
5/29/17 7:26,-158.01333,25.76833,2,25,bacteria,0.00131,0.03321,0.01676,0.01291,204.58485,2.00E-05,0.00081,0.00031,0.00018,1.32163
5/29/17 7:26,-158.01333,25.76833,2,45,picoeuk,0.88625,9.49119,0.42096,0.00463,3.64364,0.05191,0.31591,0.00721,0.00051,0.17981
5/29/17 7:26,-158.01333,25.76833,2,45,prochloro,0.03416,0.37474,0.11016,0.00141,86.07407,0.00097,0.00471,0.00204,4.00E-05,1.60771
5/29/17 7:26,-158.01333,25.76833,2,45,synecho,0.15033,2.70081,0.11965,0.80653,0.309,0.06553,0.72603,0.06218,0.13954,0.0142
5/29/17 7:26,-158.01333,25.76833,2,45,bacteria,0.00133,0.03482,0.01737,0.01356,209.81955,4.00E-05,0.0018,0.00022,0.00058,1.56571
5/29/17 7:26,-158.01333,25.76833,2,60,picoeuk,0.94247,9.97774,0.41707,0.00567,3.98276,0.02279,0.14096,0.01918,0.00206,0.29229
5/29/17 7:26,-158.01333,25.76833,2,60,prochloro,0.03438,0.37377,0.10631,0.00149,86.72528,0.00054,0.00956,0.00375,0.00015,1.24265
5/29/17 7:26,-158.01333,25.76833,2,60,synecho,0.1481,3.27215,0.10002,0.93574,0.2739,0.01433,0.34904,0.01454,0.03346,0.00321
5/29/17 7:26,-158.01333,25.76833,2,60,bacteria,0.00131,0.03386,0.01687,0.01307,214.37321,2.00E-05,0.00051,0.00011,0.00031,2.97661
5/29/17 7:26,-158.01333,25.76833,2,120,picoeuk,1.03945,2.62706,0.40102,0.00752,1.94441,0.06553,0.1938,0.01435,0.00181,0.08611
5/29/17 7:26,-158.01333,25.76833,2,120,prochloro,0.00388,0.01447,0.01779,0.00127,231.73139,1.00E-04,0.00041,0.00036,0,2.06234
5/29/17 7:26,-158.01333,25.76833,2,120,synecho,0.03734,0.14516,0.1022,0.03119,2.05356,0.00352,0.02276,0.00195,0.00328,0.43379
5/29/17 7:26,-158.01333,25.76833,2,120,bacteria,0.00234,0.04801,0.01946,0.02122,355.55108,2.00E-05,0.00398,0.00019,0.00137,8.20122
5/30/17 6:28,-157.99667,28.47083,3,15,picoeuk,0.91273,2.08539,0.37637,0.01532,2.25415,0.03784,0.11244,0.02287,0.00873,0.08912
5/30/17 6:28,-157.99667,28.47083,3,15,prochloro,0.00425,0.01696,0.02031,0.00133,246.44482,9.00E-05,0.00103,0.00098,0.00014,14.67769
5/30/17 6:28,-157.99667,28.47083,3,15,synecho,0.04288,0.16409,0.12011,0.03261,2.63097,0.00166,0.02807,0.00415,0.00497,0.36286
5/30/17 6:28,-157.99667,28.47083,3,15,bacteria,0.00241,0.05005,0.0196,0.0211,322.21374,5.00E-05,0.00258,0.00034,0.00073,13.89951
5/31/17 6:53,-157.99833,32.25817,4,15,picoeuk,0.82236,1.78329,0.31149,0.01027,2.55561,0.06822,0.18213,0.02799,0.00718,0.16529
5/31/17 6:53,-157.99833,32.25817,4,15,prochloro,0.00579,0.01965,0.02437,0.0013,178.78865,9.00E-05,0.00099,0.00123,9.00E-05,9.14587
5/31/17 6:53,-157.99833,32.25817,4,15,synecho,0.05362,0.19613,0.09795,0.03722,1.77222,0.00231,0.02993,0.00224,0.00316,0.30276
5/31/17 6:53,-157.99833,32.25817,4,15,bacteria,0.00215,0.04585,0.02036,0.01853,387.29139,5.00E-05,0.00165,2.00E-04,0.00078,9.82915
6/1/17 6:26,-158,36.062,5,15,picoeuk,0.57665,1.99006,0.26139,0.00639,5.7896,0.00843,0.12162,0.01849,0.00083,0.2498
6/1/17 6:26,-158,36.062,5,15,prochloro,0.01355,0.04591,0.04305,0.00128,31.3652,5.00E-05,0.00182,0.00145,3.00E-05,0.69024
6/1/17 6:26,-158,36.062,5,15,synecho,0.07949,0.67976,0.07225,0.15466,29.31588,0.00114,0.02988,0.0012,0.00348,0.65983
6/1/17 6:26,-158,36.062,5,15,bacteria,0.0018,0.04153,0.02007,0.01717,744.39276,3.00E-05,0.00158,0.00046,0.00052,9.45314
6/2/17 6:28,-157.99333,39.76333,6,15,picoeuk,1.42222,5.85632,0.58737,0.00414,17.6277,0.03982,0.46799,0.03863,0.00064,1.08535
6/2/17 6:28,-157.99333,39.76333,6,15,prochloro,0.00473,0.07073,0.01932,0.00126,0.17845,0.00158,0.00718,0.00798,1.00E-05,0.08458
6/2/17 6:28,-157.99333,39.76333,6,15,synecho,0.05147,1.07677,0.06372,0.19325,4.94408,0.00122,0.06812,0.00204,0.00672,0.08902
6/2/17 6:28,-157.99333,39.76333,6,15,bacteria,0.00211,0.04504,0.02082,0.01953,1399.10897,1.00E-05,0.00099,4.00E-04,0.00021,58.13865
6/3/17 6:29,-158,41.41667,7,15,picoeuk,1.47076,5.36097,0.53225,0.00332,17.40441,0.01895,0.28298,0.01249,0.00024,0.51272
6/3/17 6:29,-158,41.41667,7,15,prochloro,0.00796,0.09524,0.02623,0.00123,0.32251,0.00311,0.02557,0.00787,0,0.26091
6/3/17 6:29,-158,41.41667,7,15,synecho,0.0629,0.84164,0.07122,0.1757,1.45654,0.00186,0.01872,0.00309,0.00319,0.10079
6/3/17 6:29,-158,41.41667,7,15,bacteria,0.00251,0.03991,0.02611,0.01744,639.61287,4.00E-05,0.00436,0.00033,0.00133,1.83673
6/3/17 6:29,-158,41.41667,7,25,picoeuk,1.47536,4.88997,0.54116,0.00466,17.02735,0.01461,0.11288,0.00418,0.00108,0.4273
6/3/17 6:29,-158,41.41667,7,25,prochloro,0.00783,0.31959,0.04178,0.00126,0.1285,0.00326,0.15642,0.00818,0,0.10622
6/3/17 6:29,-158,41.41667,7,25,synecho,0.06672,0.94879,0.07658,0.17966,1.52545,0.00029,0.02486,0.00615,0.00531,0.0476
6/3/17 6:29,-158,41.41667,7,25,bacteria,0.00258,0.0451,0.02586,0.01983,609.62494,3.00E-05,0.00215,0.00034,0.00038,7.62594
6/3/17 6:29,-158,41.41667,7,45,picoeuk,1.40324,9.06964,0.69108,0.00333,1.66286,0.04975,0.29205,0.03715,0.001,0.06537
6/3/17 6:29,-158,41.41667,7,45,prochloro,0.00599,0.23629,0.02724,0.00129,0.05654,0.00123,0.17962,0.00505,3.00E-05,0.04304
6/3/17 6:29,-158,41.41667,7,45,synecho,0.11782,2.99009,0.08855,0.76447,0.73294,0.00489,0.11056,0.00664,0.02531,0.09933
6/3/17 6:29,-158,41.41667,7,45,bacteria,0.00201,0.04308,0.0183,0.0199,605.47548,2.00E-05,0.00196,2.00E-05,0.00054,13.05917
6/3/17 6:29,-158,41.41667,7,60,picoeuk,1.35246,10.3826,0.64235,0.00341,0.76167,0.06258,1.19365,0.0196,0.00039,0.06709
6/3/17 6:29,-158,41.41667,7,60,prochloro,0.01778,0.97601,0.0508,0.00135,0.02905,0.01184,0.88311,0.02732,0.00023,0.01576
6/3/17 6:29,-158,41.41667,7,60,synecho,0.11889,3.37254,0.07623,0.95094,0.56328,0.00829,0.16058,0.00513,0.02318,0.04091
6/3/17 6:29,-158,41.41667,7,60,bacteria,0.00187,0.0393,0.01702,0.01743,437.45318,4.00E-05,0.00318,0.00021,0.00082,8.37951
6/3/17 6:29,-158,41.41667,7,120,picoeuk,1.75749,7.4099,1.35204,0.01404,0.17084,0.22523,4.30262,1.02524,0.00297,0.15038
