file,n.opp,n.opp.,n.evt,n.evt.,beads,pro,syn,pico,width,corr,offset.small.D1,offset.small.D2,offset.large.D1,offset.large.D2,notch.small.D1,notch.small.D2,notch.large.D1,notch.large.D2
2017_149/2017-05-29T07-27-39+00-00.gz,9474,9474,1883904,1682169,31,9142,44,55,5000,0,-6261,-644,-74530,-76074,0.642,0.639,1.91,2.04
2017_149/2017-05-29T07-27-39+00-00.gz,14214,14214,1883904,1682169,74,13746,51,92,5000,2500,-3761,1856,-72030,-73574,0.642,0.639,1.91,2.04
2017_149/2017-05-29T07-27-39+00-00.gz,17756,17743,1883904,1682169,116,17171,58,114,5000,5000,-1261,4356,-69530,-71074,0.642,0.639,1.91,2.04
2017_149/2017-05-29T07-27-39+00-00.gz,141230,20321,1883904,1682169,157,140518,72,131,5000,7500,1239,6856,-67030,-68574,0.642,0.639,1.91,2.04
2017_149/2017-05-29T07-27-39+00-00.gz,215582,22689,1883904,1682169,198,214758,79,138,5000,10000,3739,9356,-64530,-66074,0.642,0.639,1.91,2.04
2017_149/2017-05-29T07-27-39+00-00.gz,18178,17800,1883904,1682169,106,17617,65,90,5000,1,0,0,-74529,-76073,0.642,0.639,1.91,2.04
2017_149/2017-05-29T07-27-39+00-00.gz,17163,17163,1883904,1682169,32,16775,51,65,5000,2,0,0,-74528,-76072,0.525705794947994,0.62704309063893,1.91,2.04
2017_149/2017-05-29T07-27-39+00-00.gz,17276,17276,1883904,1682169,60,16823,53,81,5000,3,0,0,-72030,-73574,0.572139673105498,0.572139673105498,1.91,2.04
2017_149/2017-05-29T07-27-39+00-00.gz,16520,16520,1883904,1682169,2,16221,47,41,5000,4,0,0,-77030,-78574,0.47927191679049,0.580609212481426,1.91,2.04
2017_150/2017-05-30T06-27-31+00-00.gz,9687,9687,2378624,2119277,17,9328,48,70,5000,0,-6261,-644,-74530,-76074,0.642,0.639,1.91,2.04
2017_150/2017-05-30T06-27-31+00-00.gz,13459,13459,2378624,2119277,36,12979,63,104,5000,2500,-3761,1856,-72030,-73574,0.642,0.639,1.91,2.04
2017_150/2017-05-30T06-27-31+00-00.gz,16774,16760,2378624,2119277,49,16194,73,125,5000,5000,-1261,4356,-69530,-71074,0.642,0.639,1.91,2.04
2017_150/2017-05-30T06-27-31+00-00.gz,142557,19169,2378624,2119277,59,141883,83,135,5000,7500,1239,6856,-67030,-68574,0.642,0.639,1.91,2.04
2017_150/2017-05-30T06-27-31+00-00.gz,260170,21505,2378624,2119277,74,259396,90,146,5000,10000,3739,9356,-64530,-66074,0.642,0.639,1.91,2.04
2017_150/2017-05-30T06-27-31+00-00.gz,17455,16984,2378624,2119277,48,16907,71,106,5000,1,0,0,-74529,-76073,0.642,0.639,1.91,2.04
2017_150/2017-05-30T06-27-31+00-00.gz,16378,16378,2378624,2119277,17,15956,63,75,5000,2,0,0,-74528,-76072,0.525705794947994,0.62704309063893,1.91,2.04
2017_150/2017-05-30T06-27-31+00-00.gz,16575,16575,2378624,2119277,35,16106,60,99,5000,3,0,0,-72030,-73574,0.572139673105498,0.572139673105498,1.91,2.04
2017_150/2017-05-30T06-27-31+00-00.gz,15742,15742,2378624,2119277,0,15415,52,48,5000,4,0,0,-77030,-78574,0.47927191679049,0.580609212481426,1.91,2.04
2017_151/2017-05-31T06-53-09+00-00.gz,7790,7790,2317184,1960468,17,7387,100,92,5000,0,-6261,-644,-74530,-76074,0.642,0.639,1.91,2.04
2017_151/2017-05-31T06-53-09+00-00.gz,9974,9974,2317184,1960468,41,9451,119,131,5000,2500,-3761,1856,-72030,-73574,0.642,0.639,1.91,2.04
2017_151/2017-05-31T06-53-09+00-00.gz,12570,12559,2317184,1960468,54,11926,138,177,5000,5000,-1261,4356,-69530,-71074,0.642,0.639,1.91,2.04
2017_151/2017-05-31T06-53-09+00-00.gz,161154,14189,2317184,1960468,68,14222,146,206,5000,7500,1239,6856,-67030,-68574,0.642,0.639,1.91,2.04
2017_151/2017-05-31T06-53-09+00-00.gz,262803,15772,2317184,1960468,84,15927,163,234,5000,10000,3739,9356,-64530,-66074,0.642,0.639,1.91,2.04
2017_151/2017-05-31T06-53-09+00-00.gz,13090,12525,2317184,1960468,45,12439,138,143,5000,1,0,0,-74529,-76073,0.642,0.639,1.91,2.04
2017_151/2017-05-31T06-53-09+00-00.gz,12289,12289,2317184,1960468,17,11772,119,95,5000,2,0,0,-74528,-76072,0.525705794947994,0.62704309063893,1.91,2.04
