file,beads.d1,beads.d2
2015-08-02T06-00-56+00-00,30704,30880
2015-08-02T10-01-15+00-00,31968,33456
2015-08-02T14-00-09+00-00,12880,14912
2015-08-02T18-00-28+00-00,16928,15712
2015-08-02T22-09-46+00-00,15184,16304
2015-08-03T02-00-11+00-00,16576,17344
2015-08-03T06-00-31+00-00,16208,15424
2015-08-03T10-00-50+00-00,17248,16928
2015-08-03T14-01-19+00-00,15568,16912
2015-08-03T18-01-39+00-00,17744,18128
2015-08-03T22-01-58+00-00,16816,15440
2015-08-04T02-03-11+00-00,16976,15824
2015-08-04T05-58-44+00-00,17104,16496
2015-08-04T10-02-04+00-00,17136,15888
2015-08-04T13-59-24+00-00,16400,16640
2015-08-04T18-01-07+00-00,15648,16032
2015-08-04T21-58-26+00-00,14160,13856
