file,n.opp,n.evt,n.evt.,beads,pro,syn,pico,origin,offset.small.D1,offset.large.D1,offset.small.D2,offset.large.D2,width,corr
2015-08-02T06-00-56+00-00,124811,2804608,2769909,0,6562,42,86,0,5507.5,-51274.5,5507.5,-49534.5,2500,5507.5
2015-08-02T06-00-56+00-00,163,2804608,2769909,0,152,1,1,0,-10000,-66782,-10000,-65042,2500,-10000
2015-08-02T06-00-56+00-00,759,2804608,2769909,0,730,2,2,0,-7500,-64282,-7500,-62542,2500,-7500
2015-08-02T06-00-56+00-00,1734,2804608,2769909,0,1637,7,5,0,-5000,-61782,-5000,-60042,2500,-5000
2015-08-02T06-00-56+00-00,2936,2804608,2769909,0,2626,13,11,0,-2500,-59282,-2500,-57542,2500,-2500
2015-08-02T06-00-56+00-00,4381,2804608,2769909,0,3632,20,28,0,0,-56782,0,-55042,2500,0
2015-08-02T06-00-56+00-00,64605,2804608,2769909,0,4828,25,53,0,2500,-54282,2500,-52542,2500,2500
2015-08-02T06-00-56+00-00,113136,2804608,2769909,0,6235,35,81,0,5000,-51782,5000,-50042,2500,5000
2015-08-02T06-00-56+00-00,170447,2804608,2769909,0,7983,50,101,0,7500,-49282,7500,-47542,2500,7500
2015-08-02T06-00-56+00-00,215815,2804608,2769909,0,9847,70,118,0,10000,-46782,10000,-45042,2500,10000
2015-08-02T10-01-15+00-00,148853,2941568,2895551,0,7454,43,113,0,5507.5,-51274.5,5507.5,-49534.5,2500,5507.5
2015-08-02T10-01-15+00-00,94,2941568,2895551,0,59,1,2,0,-10000,-66782,-10000,-65042,2500,-10000
2015-08-02T10-01-15+00-00,619,2941568,2895551,0,532,3,3,0,-7500,-64282,-7500,-62542,2500,-7500
2015-08-02T10-01-15+00-00,1746,2941568,2895551,0,1600,9,5,0,-5000,-61782,-5000,-60042,2500,-5000
2015-08-02T10-01-15+00-00,3267,2941568,2895551,0,2965,22,11,0,-2500,-59282,-2500,-57542,2500,-2500
2015-08-02T10-01-15+00-00,5103,2941568,2895551,0,4345,29,31,0,0,-56782,0,-55042,2500,0
2015-08-02T10-01-15+00-00,79055,2941568,2895551,0,5665,35,62,0,2500,-54282,2500,-52542,2500,2500
2015-08-02T10-01-15+00-00,135445,2941568,2895551,0,7124,42,104,0,5000,-51782,5000,-50042,2500,5000
2015-08-02T10-01-15+00-00,198176,2941568,2895551,0,8996,47,133,0,7500,-49282,7500,-47542,2500,7500
2015-08-02T10-01-15+00-00,245351,2941568,2895551,0,11283,63,153,0,10000,-46782,10000,-45042,2500,10000
2015-08-02T14-00-09+00-00,263404,2831402,2468979,0,24763,84,207,0,5507.5,-51274.5,5507.5,-49534.5,2500,5507.5
2015-08-02T14-00-09+00-00,1250,2831402,2468979,0,587,37,107,0,-10000,-66782,-10000,-65042,2500,-10000
2015-08-02T14-00-09+00-00,4081,2831402,2468979,0,3300,41,133,0,-7500,-64282,-7500,-62542,2500,-7500
2015-08-02T14-00-09+00-00,10112,2831402,2468979,0,9194,47,151,0,-5000,-61782,-5000,-60042,2500,-5000
2015-08-02T14-00-09+00-00,16888,2831402,2468979,0,15763,54,167,0,-2500,-59282,-2500,-57542,2500,-2500
2015-08-02T14-00-09+00-00,22593,2831402,2468979,0,20144,72,182,0,0,-56782,0,-55042,2500,0
2015-08-02T14-00-09+00-00,198348,2831402,2468979,0,22356,76,194,0,2500,-54282,2500,-52542,2500,2500
2015-08-02T14-00-09+00-00,253775,2831402,2468979,0,24345,83,204,0,5000,-51782,5000,-50042,2500,5000
2015-08-02T14-00-09+00-00,296811,2831402,2468979,0,26566,87,217,0,7500,-49282,7500,-47542,2500,7500
2015-08-02T14-00-09+00-00,332903,2831402,2468979,0,29356,93,229,0,10000,-46782,10000,-45042,2500,10000
2015-08-02T18-00-28+00-00,266008,2847616,2476954,0,22369,91,181,0,5507.5,-51274.5,5507.5,-49534.5,2500,5507.5
2015-08-02T18-00-28+00-00,1823,2847616,2476954,0,1356,32,96,0,-10000,-66782,-10000,-65042,2500,-10000
2015-08-02T18-00-28+00-00,5506,2847616,2476954,0,4930,42,120,0,-7500,-64282,-7500,-62542,2500,-7500
2015-08-02T18-00-28+00-00,11223,2847616,2476954,0,10493,51,139,0,-5000,-61782,-5000,-60042,2500,-5000
2015-08-02T18-00-28+00-00,16734,2847616,2476954,0,15536,60,145,0,-2500,-59282,-2500,-57542,2500,-2500
2015-08-02T18-00-28+00-00,21632,2847616,2476954,0,18412,72,156,0,0,-56782,0,-55042,2500,0
2015-08-02T18-00-28+00-00,204503,2847616,2476954,0,20174,80,167,0,2500,-54282,2500,-52542,2500,2500
2015-08-02T18-00-28+00-00,256753,2847616,2476954,0,21957,89,180,0,5000,-51782,5000,-50042,2500,5000
2015-08-02T18-00-28+00-00,297316,2847616,2476954,0,24104,91,193,0,7500,-49282,7500,-47542,2500,7500
2015-08-02T18-00-28+00-00,331348,2847616,2476954,0,26798,99,201,0,10000,-46782,10000,-45042,2500,10000
2015-08-02T22-09-46+00-00,212682,2318208,2019068,0,16667,76,141,0,5507.5,-51274.5,5507.5,-49534.5,2500,5507.5
2015-08-02T22-09-46+00-00,3316,2318208,2019068,0,3059,30,48,0,-10000,-66782,-10000,-65042,2500,-10000
