population,file,abundance_cells.µL-1,fsc,chl,pe,station,Depth_m,Replicate,latitude_decDegree,longitude_decDegree,time_HST
prochloro,527.fcs,180.456,0.292165622,0.360425311,0.003143953,2,5,A,23.5,-157.99,4/20/16 15:18
synecho,527.fcs,2.104,0.583618004,0.748573651,0.585022899,2,5,A,23.5,-157.99,4/20/16 15:18
picoeuk,527.fcs,2.36,0.995119937,1.343205394,0.338284441,2,5,A,23.5,-157.99,4/20/16 15:18
bacteria,532.fcs,347.808,0.247879888,0.568740095,0.518467175,2,5,A,23.5,-157.99,4/20/16 15:18
prochloro,555.fcs,213.608,0.353097128,0.50078095,0.33956678,2,5,B,23.5,-157.99,4/20/16 15:18
synecho,555.fcs,3.512,0.626729405,0.749993599,0.604509338,2,5,B,23.5,-157.99,4/20/16 15:18
picoeuk,555.fcs,1.792,1.022771964,1.359723467,0.818006984,2,5,B,23.5,-157.99,4/20/16 15:18
bacteria,560.fcs,336.768,0.167548871,0.53048235,0.458796992,2,5,B,23.5,-157.99,4/20/16 15:18
prochloro,537.fcs,172.536,0.300038168,0.391155581,0.045089036,2,15,A,23.5,-157.99,4/20/16 15:18
synecho,537.fcs,1.96,0.599370229,0.777360153,0.616208731,2,15,A,23.5,-157.99,4/20/16 15:18
picoeuk,537.fcs,1.864,1.031583969,1.399113484,0.519106965,2,15,A,23.5,-157.99,4/20/16 15:18
bacteria,542.fcs,524.312,0.244282726,0.601441994,0.516423858,2,15,A,23.5,-157.99,4/20/16 15:18
prochloro,578.fcs,208.24,0.383313054,0.387299409,0.3026571,2,15,B,23.5,-157.99,4/20/16 15:18
synecho,578.fcs,2.16,0.651625239,0.804845861,0.703764382,2,15,B,23.5,-157.99,4/20/16 15:18
picoeuk,578.fcs,1.92,1.021779941,1.417915963,0.666177052,2,15,B,23.5,-157.99,4/20/16 15:18
bacteria,583.fcs,586.5133333,0.243073597,0.612273726,0.644451567,2,15,B,23.5,-157.99,4/20/16 15:18
prochloro,538.fcs,183.664,0.315463681,0.431303263,0.030604046,2,45,A,23.5,-157.99,4/20/16 15:18
synecho,538.fcs,1.944,0.619464293,0.896149449,0.712024931,2,45,A,23.5,-157.99,4/20/16 15:18
picoeuk,538.fcs,1.808,1.015131252,1.422625234,0.481630268,2,45,A,23.5,-157.99,4/20/16 15:18
bacteria,543.fcs,497.336,0.255153233,0.608372959,0.521932121,2,45,A,23.5,-157.99,4/20/16 15:18
prochloro,575.fcs,218.472,0.397312258,0.536388918,0.521040118,2,45,B,23.5,-157.99,4/20/16 15:18
synecho,575.fcs,1.936,0.66135153,0.934961696,0.817149111,2,45,B,23.5,-157.99,4/20/16 15:18
picoeuk,575.fcs,2.056,1.02336107,1.473606884,0.853021097,2,45,B,23.5,-157.99,4/20/16 15:18
bacteria,580.fcs,468.816,0.156310629,0.535882896,0.61142933,2,45,B,23.5,-157.99,4/20/16 15:18
prochloro,577.fcs,222.592,0.38689192,0.460957511,0.340783597,2,60,A,23.5,-157.99,4/20/16 15:18
synecho,577.fcs,1.616,0.665355975,0.947318387,0.832293689,2,60,A,23.5,-157.99,4/20/16 15:18
picoeuk,577.fcs,2.04,1.025784675,1.48765481,0.687239696,2,60,A,23.5,-157.99,4/20/16 15:18
bacteria,582.fcs,480.5634921,0.25255102,0.619863014,0.650459846,2,60,A,23.5,-157.99,4/20/16 15:18
prochloro,529.fcs,200.032,0.285583419,0.352518624,0.003129574,2,60,B,23.5,-157.99,4/20/16 15:18
synecho,529.fcs,1.688,0.593076072,0.898309093,0.731310888,2,60,B,23.5,-157.99,4/20/16 15:18
picoeuk,529.fcs,1.872,1.031909615,1.531512357,0.393594468,2,60,B,23.5,-157.99,4/20/16 15:18
bacteria,534.fcs,465.752,0.257954996,0.585983781,0.525379882,2,60,B,23.5,-157.99,4/20/16 15:18
prochloro,566.fcs,250.152,0.336694262,0.503155743,0.057378285,2,75,A,23.5,-157.99,4/20/16 15:18
synecho,566.fcs,2.104,0.624814264,0.969388016,0.805305733,2,75,A,23.5,-157.99,4/20/16 15:18
picoeuk,566.fcs,1.384,1.016716196,1.528427239,0.565166055,2,75,A,23.5,-157.99,4/20/16 15:18
bacteria,571.fcs,508.024,0.249028555,0.62797137,0.522899021,2,75,A,23.5,-157.99,4/20/16 15:18
prochloro,559.fcs,93.96,0.591155125,0.948979224,0.056553277,2,110,A,23.5,-157.99,4/20/16 15:18
synecho,559.fcs,0.04,0.798753851,1.567493609,1.240595298,2,110,A,23.5,-157.99,4/20/16 15:18
picoeuk,559.fcs,4.624,0.984388325,1.885284269,0.373361681,2,110,A,23.5,-157.99,4/20/16 15:18
bacteria,564.fcs,171.4,0.217395875,0.575096738,0.503220126,2,110,A,23.5,-157.99,4/20/16 15:18
prochloro,569.fcs,101.128,0.568267276,0.981563594,0.036227776,2,110,B,23.5,-157.99,4/20/16 15:18
synecho,569.fcs,0.04,0.760556285,1.640723454,1.236176243,2,110,B,23.5,-157.99,4/20/16 15:18
picoeuk,569.fcs,4.616,0.980515625,1.982302606,0.296676114,2,110,B,23.5,-157.99,4/20/16 15:18
bacteria,574.fcs,169.464,0.172985697,0.589492174,0.518534538,2,110,B,23.5,-157.99,4/20/16 15:18
prochloro,548.fcs,95.32330827,0.538314466,1.090409967,0.051848234,2,150,A,23.5,-157.99,4/20/16 15:18
synecho,548.fcs,0.07518797,0.589936774,1.136293704,0.956968793,2,150,A,23.5,-157.99,4/20/16 15:18
picoeuk,548.fcs,1.105263158,0.987297921,1.823524088,0.249010334,2,150,A,23.5,-157.99,4/20/16 15:18
bacteria,553.fcs,71.504,0.238225932,0.548381457,0.539019729,2,150,A,23.5,-157.99,4/20/16 15:18
prochloro,526.fcs,91.736,0.546216914,1.006317354,0.055298062,2,150,B,23.5,-157.99,4/20/16 15:18
synecho,526.fcs,0.04,0.615064955,1.351170569,1.108426606,2,150,B,23.5,-157.99,4/20/16 15:18
picoeuk,526.fcs,1.512,0.964920819,1.941174285,0.246684089,2,150,B,23.5,-157.99,4/20/16 15:18
bacteria,531.fcs,74.912,0.189119807,0.510805614,0.49570896,2,150,B,23.5,-157.99,4/20/16 15:18
prochloro,595.fcs,268.8976378,0.278443217,0.266920446,0.096161496,3,15,A,24.66,-157.99,4/21/16 5:13
synecho,595.fcs,2.007874016,0.595377012,0.795019033,0.649835919,3,15,A,24.66,-157.99,4/21/16 5:13
picoeuk,595.fcs,2.181102362,0.975821121,1.434189303,0.650308274,3,15,A,24.66,-157.99,4/21/16 5:13
bacteria,600.fcs,548.088,0.217931937,0.509487422,0.474373505,3,15,A,24.66,-157.99,4/21/16 5:13
prochloro,597.fcs,265.376,0.264203074,0.289555752,0.003419749,3,15,B,24.66,-157.99,4/21/16 5:13
synecho,597.fcs,1.584,0.583215334,0.780582524,0.624908849,3,15,B,24.66,-157.99,4/21/16 5:13
picoeuk,597.fcs,2.176,0.983422552,1.385878199,0.465689356,3,15,B,24.66,-157.99,4/21/16 5:13
bacteria,602.fcs,557.2708333,0.213157986,0.526748495,0.482253579,3,15,B,24.66,-157.99,4/21/16 5:13
prochloro,536.fcs,127.944,0.291531566,0.362770966,0.093674202,4,5,A,28.13,-158,4/22/16 15:57
synecho,536.fcs,3.904,0.60244135,0.773888975,0.590375473,4,5,A,28.13,-158,4/22/16 15:57
picoeuk,536.fcs,2.168,0.992828533,1.291582596,0.600441448,4,5,A,28.13,-158,4/22/16 15:57
bacteria,541.fcs,401.32,0.167474073,0.545899144,0.474702786,4,5,A,28.13,-158,4/22/16 15:57
prochloro,556.fcs,129.5793103,0.370824635,0.371365535,0.100922477,4,5,B,28.13,-158,4/22/16 15:57
synecho,556.fcs,4.351724138,0.642519137,0.754392877,0.581260468,4,5,B,28.13,-158,4/22/16 15:57
picoeuk,556.fcs,1.889655172,1.005810717,1.28726394,0.656058599,4,5,B,28.13,-158,4/22/16 15:57
bacteria,561.fcs,362.056,0.160109758,0.525956773,0.449748051,4,5,B,28.13,-158,4/22/16 15:57
prochloro,485.fcs,185.112,0.241472489,0.350917487,0.003103103,4,15,A,28.13,-158,4/22/16 15:57
synecho,485.fcs,5.376,0.556138633,0.775624893,0.548398398,4,15,A,28.13,-158,4/22/16 15:57
picoeuk,485.fcs,2.504,0.943763462,1.216825079,0.403303303,4,15,A,28.13,-158,4/22/16 15:57
bacteria,504.fcs,685.8897638,0.179928711,0.555994533,0.481192874,4,15,A,28.13,-158,4/22/16 15:57
prochloro,539.fcs,161.432,0.28616208,0.35452421,0.010379611,4,15,B,28.13,-158,4/22/16 15:57
synecho,539.fcs,4.672,0.594915902,0.786340679,0.584279519,4,15,B,28.13,-158,4/22/16 15:57
picoeuk,539.fcs,2.408,0.997362385,1.254315652,0.464061206,4,15,B,28.13,-158,4/22/16 15:57
bacteria,544.fcs,637.848,0.222890071,0.592572917,0.515850722,4,15,B,28.13,-158,4/22/16 15:57
prochloro,636.fcs,242.6357143,0.337575059,0.403364622,0.003356761,4,45,A,28.13,-158,4/22/16 15:57
synecho,636.fcs,8.878571429,0.620845552,0.799110741,0.597083814,4,45,A,28.13,-158,4/22/16 15:57
picoeuk,636.fcs,4.1,0.990853233,1.332327934,0.459797545,4,45,A,28.13,-158,4/22/16 15:57
bacteria,641.fcs,417.432,0.14982597,0.52431336,0.479315377,4,45,A,28.13,-158,4/22/16 15:57
prochloro,549.fcs,245.288,0.247127416,0.224478335,0.003134877,4,45,B,28.13,-158,4/22/16 15:57
synecho,549.fcs,7.352,0.57313495,0.734586511,0.558342113,4,45,B,28.13,-158,4/22/16 15:57
picoeuk,549.fcs,3.184,0.962538096,1.342791275,0.332091374,4,45,B,28.13,-158,4/22/16 15:57
bacteria,554.fcs,405.728,0.216314222,0.56812152,0.519190509,4,45,B,28.13,-158,4/22/16 15:57
prochloro,606.fcs,256.9398496,0.356952013,0.385388011,0.133608883,4,60,A,28.13,-158,4/22/16 15:57
synecho,606.fcs,10.26315789,0.638864475,0.90697972,0.761935042,4,60,A,28.13,-158,4/22/16 15:57
picoeuk,606.fcs,4.090225564,0.953577079,1.405092445,0.564126394,4,60,A,28.13,-158,4/22/16 15:57
picoeuk,628.fcs,6.592,0.976476873,1.88929916,0.378018969,4,60,A,28.13,-158,4/22/16 15:57
