time,pro_infl,syn_infl,pico_infl
3/21/15 13:34,3.62,18.63,50.49
3/21/15 19:40,13.59,45.61,66.10
3/22/15 6:24,26.28,53.45,5.31
3/22/15 12:32,86.79,4.53,2.43
3/22/15 19:00,106.37,3.04,3.39
3/23/15 6:40,121.93,1.50,1.63
3/23/15 12:58,81.55,1.39,1.03
3/23/15 19:25,117.55,1.80,2.07
3/24/15 5:47,111.98,2.12,1.86
3/24/15 12:00,137.91,2.06,1.64
3/24/15 18:30,118.87,2.38,1.75
3/25/15 5:50,103.02,3.48,1.81
3/25/15 12:00,106.25,2.93,2.15
3/25/15 19:00,71.59,2.58,1.69
3/26/15 6:25,139.98,4.52,2.38
3/26/15 13:00,151.68,4.27,2.48
3/26/15 19:00,153.23,2.48,2.06
3/27/15 5:44,198.58,2.07,2.37
3/27/15 12:18,159.97,1.78,2.16
3/27/15 18:28,186.07,2.12,2.28
3/25/15 14:50,113.76,3.28,2.20
3/25/15 14:50,108.02,3.01,2.25
3/25/15 14:50,102.56,3.48,2.07
3/25/15 18:00,87.44,3.05,2.00
3/25/15 18:00,84.71,2.81,2.25
3/25/15 18:00,90.23,2.93,2.10
3/25/15 21:00,176.97,25.61,2.65
3/25/15 21:00,128.78,5.58,2.03
3/25/15 21:00,106.94,3.63,2.03
3/26/15 0:00,147.34,7.44,2.89
3/26/15 0:00,82.10,3.17,2.32
3/26/15 0:00,108.74,4.03,2.71
3/26/15 4:00,83.17,3.07,1.76
3/26/15 4:00,78.79,3.04,1.83
3/26/15 4:00,73.63,2.58,1.70
3/26/15 6:50,90.71,2.96,2.35
3/26/15 6:50,77.09,2.63,2.11
3/26/15 6:50,79.61,2.91,2.43
3/26/15 10:00,83.62,3.06,1.94
3/26/15 10:00,118.38,6.10,2.50
3/26/15 10:00,74.05,2.81,2.22
3/26/15 13:00,157.62,5.08,3.25
3/26/15 13:00,147.44,5.01,3.02
3/26/15 13:00,210.99,12.10,4.57
3/26/15 15:25,142.47,4.67,2.35
3/26/15 15:25,144.76,5.06,2.79
3/26/15 15:25,141.67,4.51,2.15
3/26/15 19:00,129.17,4.16,2.79
3/26/15 19:00,137.36,5.02,3.33
3/26/15 19:00,143.74,4.28,2.74
3/26/15 22:00,142.31,4.40,2.74
3/26/15 22:00,144.66,4.37,2.70
3/26/15 22:00,147.10,4.51,3.07
3/27/15 1:00,140.14,4.24,2.75
3/27/15 1:00,128.90,4.36,2.60
3/27/15 1:00,121.06,4.09,2.74
3/27/15 4:00,166.62,2.90,2.39
3/27/15 4:00,163.08,2.82,2.36
3/27/15 4:00,155.79,2.79,2.06
3/27/15 7:00,156.56,2.89,3.08
3/27/15 7:00,146.26,2.43,2.67
3/27/15 7:00,148.76,2.76,2.51
3/27/15 10:00,174.04,4.00,2.44
3/27/15 10:00,199.91,4.35,3.37
3/27/15 10:00,169.52,3.80,2.54
3/27/15 13:00,189.20,2.10,2.44
3/27/15 13:00,181.52,2.18,2.79
3/27/15 13:00,185.79,2.15,2.73
3/27/15 15:44,196.64,1.92,2.85
3/27/15 15:44,189.78,2.30,2.58
3/27/15 15:44,192.35,2.19,2.74
