"pop","time","abundance","fsc","chl","ssc","pe","pop","time","abundance.sd","fsc.sd","chl.sd","ssc.sd","pe.sd"
"beads",2015-08-02 06:00:00,13.5525158768661,52798,45207.3333333333,46893.6666666667,49956.3333333333,"beads",2015-08-02 06:00:00,1.23149115765308,951.985294004062,2419.28364052943,1759.88475001442,2583.06336223743
"crocco",2015-08-02 06:00:00,0.51293829668603,57920.6666666667,64787,43706.6666666667,50263.6666666667,"crocco",2015-08-02 06:00:00,0.0552303887602341,609.265404674624,803.979477350013,847.882853543656,894.367001478327
"picoeuk",2015-08-02 06:00:00,2.29302623305827,50540.6666666667,48902.3333333333,38759,13586.6666666667,"picoeuk",2015-08-02 06:00:00,0.163023865438687,1232.68379292231,629.547721251799,1184.94599033036,1314.81798486837
"prochloro",2015-08-02 06:00:00,203.886033689612,11937,12834.6666666667,17034.3333333333,121,"prochloro",2015-08-02 06:00:00,3.37263135606626,187.661930076401,247.728345841434,470.729575588079,0
"synecho",2015-08-02 06:00:00,1.3591361674995,26753,30740.3333333333,30112,24361.6666666667,"synecho",2015-08-02 06:00:00,0.128208395103605,548.517091802981,430.293310816393,443.787111124242,556.661776425626
"beads",2015-08-02 08:00:00,17.1417444506396,52485.5,44603.5,45961.5,48793,"beads",2015-08-02 08:00:00,1.13023107959191,480.125504425666,1694.93495450415,540.936687607709,2009.59747213217
"crocco",2015-08-02 08:00:00,0.440230643984427,57988,65535,43634.5,52101.5,"crocco",2015-08-02 08:00:00,0.0567801299372021,196.57568516986,0,160.513239329346,393.858477120907
"picoeuk",2015-08-02 08:00:00,2.12785122880977,50993,49534.5,38035.5,11598.5,"picoeuk",2015-08-02 08:00:00,0.144425852025071,263.043722601396,468.811795926681,351.432070249714,976.514464818622
"prochloro",2015-08-02 08:00:00,191.123554026919,12874,12813,16446,121.5,"prochloro",2015-08-02 08:00:00,5.41633178945902,11.3137084989848,258.801081914276,94.7523086789974,0.707106781186548
"synecho",2015-08-02 08:00:00,0.986831147564359,27113,32687.5,29500,26056.5,"synecho",2015-08-02 08:00:00,0.0726252422581326,16.9705627484771,1092.47997693322,552.95750288788,374.059487247684
"beads",2015-08-02 10:00:00,13.7920025217891,52042,43768.6666666667,46108.6666666667,48503,"beads",2015-08-02 10:00:00,1.71705753376121,892.652227914096,1846.42609744699,369.628642468807,1531.62560699409
"crocco",2015-08-02 10:00:00,0.843212082723449,56970.3333333333,62208.3333333333,42524,49916.6666666667,"crocco",2015-08-02 10:00:00,0.368054000084369,278.683213224861,288.170667024479,1801.4694002397,1627.15989789981
"picoeuk",2015-08-02 10:00:00,3.26210639449929,49242.3333333333,46495.6666666667,38428.6666666667,14776,"picoeuk",2015-08-02 10:00:00,1.97378213119519,2820.4241406805,3878.74120473812,1363.62910402108,3933.94928792937
"prochloro",2015-08-02 10:00:00,181.346629158505,14467,13195,17310.5,121,"prochloro",2015-08-02 10:00:00,2.26988811420496,291.327993848858,315.3696244092,795.495128834866,0
"synecho",2015-08-02 10:00:00,2.18888826147094,27828.6666666667,31787.3333333333,30399.6666666667,23849.3333333333,"synecho",2015-08-02 10:00:00,2.04084821981172,556.74889612224,2019.06471747028,1584.5795446532,4658.62816002021
"beads",2015-08-02 12:00:00,17.4719032910836,51871.6666666667,42346.6666666667,44982.6666666667,47238.3333333333,"beads",2015-08-02 12:00:00,2.36675838651584,227.390266575624,387.990120149126,1086.73701203802,831.213771140333
"crocco",2015-08-02 12:00:00,0.758655344644855,58059.3333333333,60823.3333333333,42127,47438,"crocco",2015-08-02 12:00:00,0.0766406354151513,300.76125637012,482.047023985558,1134.52941786452,932.057938113291
"picoeuk",2015-08-02 12:00:00,2.18255267139368,51454,48721.3333333333,38565.3333333333,12464.3333333333,"picoeuk",2015-08-02 12:00:00,0.139169008565324,664.449396116815,749.817533359506,436.463438713179,327.484859700923
"prochloro",2015-08-02 12:00:00,180.969885804102,15731.3333333333,11914.6666666667,17800.3333333333,121.666666666667,"prochloro",2015-08-02 12:00:00,8.59954389075354,40.2781992315115,398.724633466925,999.84515467813,0.577350269189626
"synecho",2015-08-02 12:00:00,1.07986499463873,29180.3333333333,30752.6666666667,29824.3333333333,24219.6666666667,"synecho",2015-08-02 12:00:00,0.0913698125638789,314.765521195275,1177.5068294211,1475.72298665208,1414.00754359138
"beads",2015-08-02 14:00:00,18.3425824028736,52112.3333333333,43360.3333333333,45246.3333333333,48163.6666666667,"beads",2015-08-02 14:00:00,2.60304111279752,635.153787151847,2600.38157456427,2082.77323137526,2668.05253571464
"crocco",2015-08-02 14:00:00,0.682875968095381,58813.3333333333,60256.6666666667,42616,46571.6666666667,"crocco",2015-08-02 14:00:00,0.0548760739091001,198.369184434814,84.6778207875789,592.273585431598,479.512599764942
"picoeuk",2015-08-02 14:00:00,2.12513017405961,50082.3333333333,46562.3333333333,37845.3333333333,14181,"picoeuk",2015-08-02 14:00:00,0.233276985070881,3029.20539635947,1985.57833724417,728.242633559265,555.259398839858
"prochloro",2015-08-02 14:00:00,173.130495082054,16897.3333333333,11442.3333333333,18374.6666666667,121.666666666667,"prochloro",2015-08-02 14:00:00,7.9499409290346,112.117497890977,170.00098038933,856.668158234759,0.577350269189626
"synecho",2015-08-02 14:00:00,1.15908058234416,29776.3333333333,29207.3333333333,29512.3333333333,22385,"synecho",2015-08-02 14:00:00,0.0908520153626285,134.105679720634,601.874017825436,1196.46660351776,1132.36434066073
"beads",2015-08-02 16:00:00,15.9963874059475,52161.6666666667,43255.3333333333,44812.3333333333,47885,"beads",2015-08-02 16:00:00,2.60686189105249,478.339140499012,2212.60962063653,1224.37507869661,2022.51501848565
"crocco",2015-08-02 16:00:00,0.635510658482341,59306,59444.6666666667,43423,45889,"crocco",2015-08-02 16:00:00,0.0674951269916758,369.626838852376,360.033794710071,298.859498761542,411.692846670913
"picoeuk",2015-08-02 16:00:00,1.90127581882696,52132,49154.3333333333,38561.3333333333,12442,"picoeuk",2015-08-02 16:00:00,0.0641968305641884,380.390588737419,1162.35335992689,739.314096533627,329.113962025314
"prochloro",2015-08-02 16:00:00,161.243189730512,18058.3333333333,11567,18350.3333333333,121.666666666667,"prochloro",2015-08-02 16:00:00,4.92000134886498,197.398919281067,141.184276744969,551.217138098348,0.577350269189626
"synecho",2015-08-02 16:00:00,1.0654397206294,31112.3333333333,29470,29107,22800,"synecho",2015-08-02 16:00:00,0.040531168155536,187.008912443587,474.211977917049,824.616880739171,687.677249878168
"beads",2015-08-02 18:00:00,17.7334500715472,51185.6666666667,42531.6666666667,45234,47415.3333333333,"beads",2015-08-02 18:00:00,2.10799671071161,900.738770861637,608.822908022796,1227.23225185781,798.503809216546
"crocco",2015-08-02 18:00:00,0.635297031702006,59543,59442.3333333333,45359.6666666667,46194.6666666667,"crocco",2015-08-02 18:00:00,0.0467949348128842,600.225790848744,584.724151487976,650.570775037838,704.22250271724
"picoeuk",2015-08-02 18:00:00,2.13480007543021,51134,49854.6666666667,39860.6666666667,11699.6666666667,"picoeuk",2015-08-02 18:00:00,0.141798037589976,2006.19141659015,1376.27371308666,1248.044203277,1524.77878176912
"prochloro",2015-08-02 18:00:00,180.3821622526,18281,12367.6666666667,19517,122,"prochloro",2015-08-02 18:00:00,4.7955217035023,893.261999639523,430.220098709176,664.423810530598,0
"synecho",2015-08-02 18:00:00,1.02141016806727,31151,30230.3333333333,30338.6666666667,23236,"synecho",2015-08-02 18:00:00,0.110485206039123,925.969221950708,161.38876458209,1039.17771980222,663.663318257081
"beads",2015-08-02 20:00:00,17.0612660997258,52224.3333333333,43566.6666666667,45231.6666666667,47959.3333333333,"beads",2015-08-02 20:00:00,1.13493060789719,221.518246050598,1909.87469047928,1005.62037237386,1808.19283632397
"crocco",2015-08-02 20:00:00,0.522951205277867,59859,59114.6666666667,44441.6666666667,44906.6666666667,"crocco",2015-08-02 20:00:00,0.0379082234755657,121.34249049694,277.245979832591,243.526863679006,685.11483222401
"picoeuk",2015-08-02 20:00:00,2.03493361146948,51573,49160.3333333333,38681.6666666667,11160.3333333333,"picoeuk",2015-08-02 20:00:00,0.155799343325428,1165.17251941504,852.412067801327,381.963785368892,841.849353110955
"prochloro",2015-08-02 20:00:00,173.049122941337,17469.3333333333,12365.3333333333,18826.3333333333,121.666666666667,"prochloro",2015-08-02 20:00:00,3.21727080237157,28.7460142164672,214.479214222109,516.072023397252,0.577350269189626
"synecho",2015-08-02 20:00:00,0.985356883066746,30712,29504.6666666667,30255.3333333333,22603.6666666667,"synecho",2015-08-02 20:00:00,0.0378444817324157,323.685032091384,355.000469483258,502.005312056888,671.825374136266
"beads",2015-08-02 22:00:00,16.7708210221128,51955,43454,45424,48286.3333333333,"beads",2015-08-02 22:00:00,2.76831443947831,463.391842828507,2273.48301071286,1583.76260847388,2349.45617821089
"crocco",2015-08-02 22:00:00,0.425159844235048,59803.6666666667,59316.3333333333,44504,44703,"crocco",2015-08-02 22:00:00,0.0555151814360991,233.611500858441,692.791695485254,659.102419962179,1009.00297323645
"picoeuk",2015-08-02 22:00:00,2.18574629461629,51457,49018.3333333333,39041.6666666667,13533.6666666667,"picoeuk",2015-08-02 22:00:00,0.113145450220203,956.246307182412,354.942718383309,1287.21883661378,1998.40294568771
"prochloro",2015-08-02 22:00:00,190.630946689536,15323.3333333333,11953.6666666667,17866,122,"prochloro",2015-08-02 22:00:00,0.969414790729741,157.512962429552,153.141546725026,423.297767534864,0
"synecho",2015-08-02 22:00:00,1.14069489425651,29935,29696.6666666667,30116.3333333333,22427.3333333333,"synecho",2015-08-02 22:00:00,0.0825041238821006,324.38094888572,327.536766384071,369.519056793196,472.378379409275
"beads",2015-08-03 00:00:00,14.9189857125584,52090.5,43853.5,45506,48558,"beads",2015-08-03 00:00:00,0.388450891125205,129.400540957138,2908.33019102027,2448.00367646783,3049.04444047639
"crocco",2015-08-03 00:00:00,0.353005817928809,59615.5,60294.5,44789.5,45695,"crocco",2015-08-03 00:00:00,0.0261612194472894,279.307178568686,771.453498274523,1615.73899501126,864.084486609961
"picoeuk",2015-08-03 00:00:00,2.06979176757417,50399,48735,38950.5,12493.5,"picoeuk",2015-08-03 00:00:00,0.0233003536353981,724.077343935025,73.5391052434009,2526.49252917953,4206.57824127877
"prochloro",2015-08-03 00:00:00,199.60454055474,13549.5,11881,17193,121,"prochloro",2015-08-03 00:00:00,7.65523004881931,316.076731190387,173.948268171891,970.150503787943,0
"synecho",2015-08-03 00:00:00,1.26272009030942,28296,28763.5,29350,21818,"synecho",2015-08-03 00:00:00,0.181196084554758,514.773736703807,204.353859762912,1323.70389438122,444.063058585152
"beads",2015-08-03 02:00:00,27.6360611885915,52001,43114.3333333333,44888.6666666667,47888.3333333333,"beads",2015-08-03 02:00:00,21.1137952733653,672.582336967007,2798.08797812602,2295.15170159476,2886.00975974326
