file,n.opp,n.opp.,n.evt,n.evt.,beads,pro,syn,pico,width,corr,offset.small.D1,offset.small.D2,offset.large.D1,offset.large.D2,notch.small.D1,notch.small.D2,notch.large.D1,notch.large.D2
2015_214/2015-08-02T06-00-56+00-00,3438,3438,2804608,2769909,0,3254,11,15,5000,0,-4431,-3968,-57846,-55746,0.656,0.683,1.635,1.632
2015_214/2015-08-02T06-00-56+00-00,5688,5688,2804608,2769909,0,5145,31,49,5000,2500,-1931,-1468,-55346,-53246,0.656,0.683,1.635,1.632
2015_214/2015-08-02T06-00-56+00-00,19546,8309,2804608,2769909,0,7128,42,120,5000,5000,569,1032,-52846,-50746,0.656,0.683,1.635,1.632
2015_214/2015-08-02T06-00-56+00-00,93762,11391,2804608,2769909,1,9363,58,174,5000,7500,3069,3532,-50346,-48246,0.656,0.683,1.635,1.632
2015_214/2015-08-02T06-00-56+00-00,214287,14927,2804608,2769909,1,12074,79,227,5000,10000,5569,6032,-47846,-45746,0.656,0.683,1.635,1.632
2015_214/2015-08-02T06-00-56+00-00,7507,7385,2804608,2769909,0,6493,39,42,5000,1,0,0,-57845,-55745,0.656,0.683,1.635,1.632
2015_214/2015-08-02T06-00-56+00-00,6282,6282,2804608,2769909,0,5495,22,20,5000,2,0,0,-57844,-55744,0.574780058651026,0.610263929618768,1.635,1.632
2015_214/2015-08-02T06-00-56+00-00,6808,6808,2804608,2769909,0,5905,30,46,5000,3,0,0,-55346,-53246,0.620601173020528,0.620601173020528,1.635,1.632
2015_214/2015-08-02T06-00-56+00-00,5584,5584,2804608,2769909,0,4895,14,11,5000,4,0,0,-60346,-58246,0.528958944281525,0.564442815249267,1.635,1.632
2015_214/2015-08-02T10-01-15+00-00,3163,3163,2941568,2895551,0,2865,21,16,5000,0,-4431,-3968,-57846,-55746,0.656,0.683,1.635,1.632
2015_214/2015-08-02T10-01-15+00-00,5973,5973,2941568,2895551,0,5369,43,53,5000,2500,-1931,-1468,-55346,-53246,0.656,0.683,1.635,1.632
2015_214/2015-08-02T10-01-15+00-00,23182,9170,2941568,2895551,0,8048,53,119,5000,5000,569,1032,-52846,-50746,0.656,0.683,1.635,1.632
