cruise,file,date,file_duration,lat,lon,conductivity,salinity,ocean_tmp,par,bulk_red,stream_pressure,flow_rate,event_rate
SCOPE_6,2015_206/2015-07-25T00-19-45+00-00,2015-07-25T00:19:45+0000,180.081,2118.8735,15811.4839,NA,35.08,27.19,0.088553,21.6245,11.03,2810.3208,9082.57
SCOPE_6,2015_206/2015-07-25T00-22-45+00-00,2015-07-25T00:22:45+0000,180.062,2119.4159,15811.8634,NA,35.1,27.21,0.080632,21.6245,12,2910.8764,13698.27
SCOPE_6,2015_206/2015-07-25T00-25-45+00-00,2015-07-25T00:25:45+0000,180.066,2119.9597,15812.239,NA,35.1,27.22,0.088833,21.6245,12,2910.8586,13495.99
SCOPE_6,2015_206/2015-07-25T00-28-46+00-00,2015-07-25T00:28:46+0000,180.1,2120.3804,15812.519,NA,35.08,27.17,0.119934,21.6245,12,2910.8221,12974.52
SCOPE_6,2015_206/2015-07-25T00-31-46+00-00,2015-07-25T00:31:46+0000,180.073,2120.9089,15812.8615,NA,35.08,27.19,0.244311,21.6245,12,2910.8438,12566.15
SCOPE_6,2015_206/2015-07-25T00-34-46+00-00,2015-07-25T00:34:46+0000,180.078,2121.4366,15813.2032,NA,35.08,27.19,0.214153,21.6245,12,2910.8631,12665.77
SCOPE_6,2015_206/2015-07-25T00-37-46+00-00,2015-07-25T00:37:46+0000,180.089,2122.0042,15813.558,NA,35.07,27.18,0.204957,21.6245,12,2910.8463,12457.58
SCOPE_6,2015_206/2015-07-25T00-40-47+00-00,2015-07-25T00:40:47+0000,180.091,2122.4058,15813.8055,NA,35.08,27.18,0.209772,21.6245,12,2910.7782,12509
SCOPE_6,2015_206/2015-07-25T00-43-47+00-00,2015-07-25T00:43:47+0000,180.112,2122.976,15814.1586,NA,35.09,27.24,0.197749,21.6245,12,2910.757,12255.46
SCOPE_6,2015_206/2015-07-25T00-46-47+00-00,2015-07-25T00:46:47+0000,180.064,2123.5335,15814.5159,NA,35.1,27.18,0.196144,21.6245,12,2910.8011,12091.68
SCOPE_6,2015_206/2015-07-25T00-49-47+00-00,2015-07-25T00:49:47+0000,180.074,2123.9767,15814.7954,NA,35.11,27.22,0.19617,21.6245,12,2910.8492,11818.09
SCOPE_6,2015_206/2015-07-25T00-52-48+00-00,2015-07-25T00:52:48+0000,180.082,2124.557,15815.1581,NA,35.13,27.25,0.198819,21.6245,12,2910.7776,11382.05
SCOPE_6,2015_206/2015-07-25T00-55-48+00-00,2015-07-25T00:55:48+0000,180.059,2125.1295,15815.5284,NA,35.12,27.32,0.152309,21.6245,12,2910.8285,10910.36
SCOPE_6,2015_206/2015-07-25T00-58-48+00-00,2015-07-25T00:58:48+0000,180.061,2125.5736,15815.8137,NA,35.12,27.3,0.202487,21.6245,12,2910.8246,10954.07
SCOPE_6,2015_206/2015-07-25T01-01-48+00-00,2015-07-25T01:01:48+0000,180.123,2126.1459,15816.1786,NA,35.11,27.38,0.193878,21.6245,12,2910.8325,10862.82
SCOPE_6,2015_206/2015-07-25T01-04-49+00-00,2015-07-25T01:04:49+0000,180.098,2126.7256,15816.5435,NA,35.12,27.32,0.192299,21.6245,12,2910.8511,10780.2
SCOPE_6,2015_206/2015-07-25T01-07-49+00-00,2015-07-25T01:07:49+0000,180.088,2127.1871,15816.8315,NA,35.12,27.25,0.191305,21.6245,12,2910.8207,10836.61
SCOPE_6,2015_206/2015-07-25T01-10-49+00-00,2015-07-25T01:10:49+0000,180.093,2127.8034,15817.1623,NA,35.11,27.25,0.189546,21.6245,12,2910.792,10655.94
SCOPE_6,2015_206/2015-07-25T01-13-49+00-00,2015-07-25T01:13:49+0000,180.074,2128.3965,15817.4969,NA,35.11,27.22,0.188554,25.1026,11.99,2910.2399,10882.17
SCOPE_6,2015_206/2015-07-25T01-16-49+00-00,2015-07-25T01:16:49+0000,180.138,2128.8718,15817.7812,NA,35.11,27.22,0.188351,21.9914,12,2910.8245,10986.7
SCOPE_6,2015_206/2015-07-25T01-19-50+00-00,2015-07-25T01:19:50+0000,180.07,2129.4684,15818.1277,NA,35.11,27.22,0.187612,23.0348,12,2910.8224,10806.71
SCOPE_6,2015_206/2015-07-25T01-22-50+00-00,2015-07-25T01:22:50+0000,180.057,2130.0808,15818.488,NA,35.11,27.23,0.186975,23.0348,12,2910.7996,10525.36
SCOPE_6,2015_206/2015-07-25T01-25-50+00-00,2015-07-25T01:25:50+0000,180.071,2130.6564,15818.8267,NA,35.12,27.23,0.186772,23.0348,12,2910.8588,10661.41
SCOPE_6,2015_206/2015-07-25T01-28-50+00-00,2015-07-25T01:28:50+0000,180.091,2131.2296,15819.1736,NA,35.12,27.26,0.186364,23.0348,12,2910.8374,10608.29
SCOPE_6,2015_206/2015-07-25T01-31-51+00-00,2015-07-25T01:31:51+0000,180.063,2131.6958,15819.4584,NA,35.13,27.35,0.18588,23.0348,12,2910.8372,11024.78
SCOPE_6,2015_206/2015-07-25T01-34-51+00-00,2015-07-25T01:34:51+0000,180.115,2132.272,15819.7957,NA,35.12,27.31,0.185523,23.0348,12,2910.8536,10402.45
SCOPE_6,2015_206/2015-07-25T01-37-51+00-00,2015-07-25T01:37:51+0000,180.069,2132.9482,15819.9302,NA,35.12,27.31,0.185879,23.0348,12,2910.8101,10518.57
SCOPE_6,2015_206/2015-07-25T01-40-51+00-00,2015-07-25T01:40:51+0000,180.054,2133.4695,15819.9419,NA,35.12,27.27,0.185574,23.0348,12,2910.8913,10589.37
SCOPE_6,2015_206/2015-07-25T01-43-52+00-00,2015-07-25T01:43:52+0000,180.078,2134.1339,15819.9643,NA,35.12,27.3,0.185854,23.0348,12,2910.841,9940.17
SCOPE_6,2015_206/2015-07-25T01-46-52+00-00,2015-07-25T01:46:52+0000,180.08,2134.8304,15819.9877,NA,35.12,27.3,0.185447,23.0348,12,2910.9273,10012.43
SCOPE_6,2015_206/2015-07-25T01-49-52+00-00,2015-07-25T01:49:52+0000,180.084,2135.2367,15819.7841,NA,35.12,27.24,0.185549,23.0348,12,2910.8527,10071.28
SCOPE_6,2015_206/2015-07-25T01-52-52+00-00,2015-07-25T01:52:52+0000,180.063,2135.6391,15819.2186,NA,35.12,27.17,0.185269,23.0348,12,2910.9031,9923.13
SCOPE_6,2015_206/2015-07-25T01-55-52+00-00,2015-07-25T01:55:52+0000,180.088,2135.9943,15818.6349,NA,35.12,27.12,0.184683,20.2542,12,2910.7914,10268.7
SCOPE_6,2015_206/2015-07-25T01-58-53+00-00,2015-07-25T01:58:53+0000,180.066,2136.2524,15818.1792,NA,35.12,27.12,0.184199,20.2542,12,2910.729,10801.4
SCOPE_6,2015_206/2015-07-25T02-01-53+00-00,2015-07-25T02:01:53+0000,180.09,2136.5361,15817.5411,NA,35.13,27.03,0.183511,20.2542,11.88,2898.5757,11101.3
SCOPE_6,2015_206/2015-07-25T02-04-53+00-00,2015-07-25T02:04:53+0000,11.43,2136.5442,15817.513,NA,35.13,27.02,0.183256,20.2542,10.27,2727.321,11450.91
SCOPE_6,2015_206/2015-07-25T02-34-15+00-00,2015-07-25T02:34:15+0000,180.075,2137.3714,15810.9845,NA,35.19,26.71,0.178649,21.7238,2.43,1261.3752,3010.96
SCOPE_6,2015_206/2015-07-25T02-37-15+00-00,2015-07-25T02:37:15+0000,94.768,2137.3927,15810.6473,NA,35.19,26.69,0.178418,21.7238,11.8,2890.4519,12905.57
SCOPE_6,2015_206/2015-07-25T03-40-40+00-00,2015-07-25T03:40:40+0000,180.1,2137.6433,15813.4755,NA,35.18,26.74,0.153634,21.1293,4.81,1881.3775,3597.85
SCOPE_6,2015_206/2015-07-25T03-43-40+00-00,2015-07-25T03:43:40+0000,180.106,2137.5672,15812.8424,NA,35.19,26.72,0.152742,19.7034,11.99,2909.7419,12925.58
SCOPE_6,2015_206/2015-07-25T03-46-40+00-00,2015-07-25T03:46:40+0000,180.067,2137.5043,15812.3393,NA,35.19,26.69,0.150348,19.6154,11.99,2909.4628,12714.6
SCOPE_6,2015_206/2015-07-25T03-49-41+00-00,2015-07-25T03:49:41+0000,180.084,2137.4185,15811.6866,NA,35.19,26.64,0.148081,20.3726,11.99,2909.6523,12660.81
SCOPE_6,2015_206/2015-07-25T03-52-41+00-00,2015-07-25T03:52:41+0000,180,2137.3377,15811.0447,NA,35.19,26.66,0.144235,20.0259,11.99,2910.2447,13264.01
SCOPE_6,2015_206/2015-07-25T03-55-41+00-00,2015-07-25T03:55:41+0000,180.13,2137.2735,15810.5524,NA,35.19,26.68,0.135524,19.8309,11.99,2910.2498,12976.99
SCOPE_6,2015_206/2015-07-25T03-58-41+00-00,2015-07-25T03:58:41+0000,180.085,2137.1855,15809.9131,NA,35.19,26.69,0.106995,19.3485,12,2910.9121,12421.62
SCOPE_6,2015_206/2015-07-25T04-01-42+00-00,2015-07-25T04:01:42+0000,180.132,2137.0835,15809.2526,NA,35.19,26.72,0.085141,19.3486,12,2911.1596,12338.57
SCOPE_6,2015_206/2015-07-25T04-04-42+00-00,2015-07-25T04:04:42+0000,180.077,2136.9932,15808.7704,NA,35.19,26.72,0.085777,19.089,12,2910.9989,12216.61
SCOPE_6,2015_206/2015-07-25T04-07-42+00-00,2015-07-25T04:07:42+0000,180.062,2136.8746,15808.2483,NA,35.17,26.7,0.132543,19.5294,12,2910.9371,12086.16
SCOPE_6,2015_206/2015-07-25T04-10-42+00-00,2015-07-25T04:10:42+0000,180.058,2136.8085,15808.0027,NA,35.17,26.68,0.130861,19.3722,12,2910.9966,13312.15
SCOPE_6,2015_206/2015-07-25T04-13-43+00-00,2015-07-25T04:13:43+0000,180.109,2136.7343,15807.8292,NA,35.17,26.67,0.127728,19.3722,12,2910.8519,13798.82
SCOPE_6,2015_206/2015-07-25T04-16-43+00-00,2015-07-25T04:16:43+0000,180.106,2136.6435,15807.6179,NA,35.17,26.65,0.085523,19.3722,12,2910.9036,13943.84
SCOPE_6,2015_206/2015-07-25T04-19-43+00-00,2015-07-25T04:19:43+0000,180.106,2136.538,15807.3942,NA,35.18,26.62,0.123374,20.4744,12,2910.8862,14039.87
