local.time,fcs.file,label,Volume,i,n,fsc,chl,ssc,green,conc,duplicate,exp,lat,long
10/28/11 12:00,Francois.20120213.A.0004.fcs,TC1 1200 A,155.6,synecho,1159,40366,30571,29129,26756,7.448586118,A,TC1,38.5,135.7
10/28/11 12:00,Francois.20120213.A.0004.fcs,TC1 1200 A,155.6,beads,8020,63456,39128,44740,52187,51.54241645,A,TC1,38.5,135.7
10/28/11 12:00,Francois.20120213.A.0004.fcs,TC1 1200 A,155.6,prochloro,41269,23926,20539,17687,19185,265.2249357,A,TC1,38.5,135.7
10/28/11 12:00,Francois.20120213.A.0022.fcs,TC1 1200 C,159.96,heteroBact,57757,11167,13160,14560,12708,361.0715179,C,TC1,38.5,135.7
10/28/11 12:00,Francois.20120213.A.0022.fcs,TC1 1200 C,159.96,prochloro,44542,23452,20186,17156,18685,278.4571143,C,TC1,38.5,135.7
10/28/11 12:00,Francois.20120213.A.0004.fcs,TC1 1200 A,155.6,heteroBact,57854,11770,13449,14510,13114,371.8123393,A,TC1,38.5,135.7
10/28/11 12:00,Francois.20120213.A.0022.fcs,TC1 1200 C,159.96,synecho,1883,40038,31656,30916,25017,11.77169292,C,TC1,38.5,135.7
10/28/11 12:00,Francois.20120213.A.0022.fcs,TC1 1200 C,159.96,beads,8780,63218,38721,45145,51770,54.88872218,C,TC1,38.5,135.7
10/28/11 14:00,Francois.20120214.A.0006.fcs,TC1 1400 C,163.39,prochloro,42229,23945,20670,17559,19272,258.4552298,C,TC1,38.14,136.09
10/28/11 14:00,Francois.20120213.A.0014.fcs,TC1 1400 B,120.66,prochloro,41675,23940,19911,17933,18951,345.3920106,B,TC1,38.14,136.09
10/28/11 14:00,Francois.20120213.A.0014.fcs,TC1 1400 B,120.66,heteroBact,66454,11504,13264,13897,13121,550.7541853,B,TC1,38.14,136.09
10/28/11 14:00,Francois.20120214.A.0006.fcs,TC1 1400 C,163.39,heteroBact,55229,11374,13643,14574,13081,338.0194626,C,TC1,38.14,136.09
10/28/11 14:00,Francois.20120213.A.0014.fcs,TC1 1400 B,120.66,synecho,1055,43619,32153,31156,26053,8.743576993,B,TC1,38.14,136.09
10/28/11 14:00,Francois.20120214.A.0006.fcs,TC1 1400 C,163.39,beads,8429,63233,39041,44696,52067,51.58822449,C,TC1,38.14,136.09
10/28/11 14:00,Francois.20120214.A.0006.fcs,TC1 1400 C,163.39,synecho,732,39926,32823,30958,25176,4.48007834,C,TC1,38.14,136.09
10/28/11 14:00,Francois.20120213.A.0014.fcs,TC1 1400 B,120.66,beads,8582,63332,38921,45248,51932,71.12547655,B,TC1,38.14,136.09
