file,n.opp,n.opp.,n.evt,n.evt.,beads,pro,syn,pico,width,corr,offset.small.D1,offset.small.D2,offset.large.D1,offset.large.D2,notch.small.D1,notch.small.D2,notch.large.D1,notch.large.D2
2011_299/213.evt.gz,37,37,71933,71933,0,5,19,13,5000,2500,-6977,-7576,-65247,-64061,0.656,0.683,1.635,1.632
2011_299/213.evt.gz,127,127,71933,71933,0,30,57,38,5000,5000,-4477,-5076,-62747,-61561,0.656,0.683,1.635,1.632
2011_299/213.evt.gz,243,243,71933,71933,0,62,92,79,5000,7500,-1977,-2576,-60247,-59061,0.656,0.683,1.635,1.632
2011_299/213.evt.gz,423,423,71933,71933,0,96,139,147,5000,10000,523,-76,-57747,-56561,0.656,0.683,1.635,1.632
2011_299/213.evt.gz,401,401,71933,71933,0,95,131,137,5000,1,0,0,-67746,-66560,0.656,0.683,1.635,1.632
2011_299/213.evt.gz,132,132,71933,71933,0,32,62,36,5000,2,0,0,-67745,-66559,0.496774193548387,0.513709677419355,1.635,1.632
2011_299/213.evt.gz,169,169,71933,71933,0,45,75,45,5000,3,0,0,-65247,-64061,0.53877688172043,0.53877688172043,1.635,1.632
2011_299/213.evt.gz,81,81,71933,71933,0,17,41,22,5000,4,0,0,-70247,-69061,0.454771505376344,0.471706989247312,1.635,1.632
2011_299/5067.evt.gz,291,291,98242,98242,0,12,50,147,5000,0,-9477,-10076,-67747,-66561,0.656,0.683,1.635,1.632
2011_299/5067.evt.gz,523,523,98242,98242,0,47,89,243,5000,2500,-6977,-7576,-65247,-64061,0.656,0.683,1.635,1.632
2011_299/5067.evt.gz,790,790,98242,98242,0,144,126,312,5000,5000,-4477,-5076,-62747,-61561,0.656,0.683,1.635,1.632
2011_299/5067.evt.gz,1140,1140,98242,98242,0,332,166,357,5000,7500,-1977,-2576,-60247,-59061,0.656,0.683,1.635,1.632
2011_299/5067.evt.gz,1528,1528,98242,98242,0,538,207,397,5000,10000,523,-76,-57747,-56561,0.656,0.683,1.635,1.632
2011_299/5067.evt.gz,1473,1473,98242,98242,0,515,203,393,5000,1,0,0,-67746,-66560,0.656,0.683,1.635,1.632
2011_299/5067.evt.gz,714,714,98242,98242,0,217,121,211,5000,2,0,0,-67745,-66559,0.496774193548387,0.513709677419355,1.635,1.632
2011_299/5067.evt.gz,898,898,98242,98242,0,273,138,266,5000,3,0,0,-65247,-64061,0.53877688172043,0.53877688172043,1.635,1.632
2011_299/5067.evt.gz,526,526,98242,98242,0,152,103,148,5000,4,0,0,-70247,-69061,0.454771505376344,0.471706989247312,1.635,1.632
2011_300/140.evt.gz,888,888,268309,268309,0,22,90,574,5000,0,-9477,-10076,-67747,-66561,0.656,0.683,1.635,1.632
2011_300/140.evt.gz,1530,1530,268309,268309,1,104,156,898,5000,2500,-6977,-7576,-65247,-64061,0.656,0.683,1.635,1.632
2011_300/140.evt.gz,2294,2294,268309,268309,1,358,227,1198,5000,5000,-4477,-5076,-62747,-61561,0.656,0.683,1.635,1.632
2011_300/140.evt.gz,3050,3050,268309,268309,1,755,283,1384,5000,7500,-1977,-2576,-60247,-59061,0.656,0.683,1.635,1.632
2011_300/140.evt.gz,3908,3908,268309,268309,1,1273,332,1551,5000,10000,523,-76,-57747,-56561,0.656,0.683,1.635,1.632
2011_300/140.evt.gz,3798,3798,268309,268309,1,1233,325,1510,5000,1,0,0,-67746,-66560,0.656,0.683,1.635,1.632
2011_300/140.evt.gz,1884,1884,268309,268309,0,510,213,789,5000,2,0,0,-67745,-66559,0.496774193548387,0.513709677419355,1.635,1.632
2011_300/140.evt.gz,2333,2333,268309,268309,1,646,240,986,5000,3,0,0,-65247,-64061,0.53877688172043,0.53877688172043,1.635,1.632
2011_300/140.evt.gz,1328,1328,268309,268309,0,346,168,540,5000,4,0,0,-70247,-69061,0.454771505376344,0.471706989247312,1.635,1.632
2011_300/338.evt.gz,1109,1109,294554,294554,0,58,153,521,5000,0,-9477,-10076,-67747,-66561,0.656,0.683,1.635,1.632
2011_300/338.evt.gz,1636,1636,294554,294554,0,282,213,615,5000,2500,-6977,-7576,-65247,-64061,0.656,0.683,1.635,1.632
2011_300/338.evt.gz,2611,2611,294554,294554,0,935,295,703,5000,5000,-4477,-5076,-62747,-61561,0.656,0.683,1.635,1.632
2011_300/338.evt.gz,4189,4189,294554,294554,0,2192,379,766,5000,7500,-1977,-2576,-60247,-59061,0.656,0.683,1.635,1.632
2011_300/338.evt.gz,6446,6446,294554,294554,0,4001,450,828,5000,10000,523,-76,-57747,-56561,0.656,0.683,1.635,1.632
2011_300/338.evt.gz,6177,6177,294554,294554,0,3809,442,805,5000,1,0,0,-67746,-66560,0.656,0.683,1.635,1.632
2011_300/338.evt.gz,2834,2834,294554,294554,0,1428,266,559,5000,2,0,0,-67745,-66559,0.496774193548387,0.513709677419355,1.635,1.632
2011_300/338.evt.gz,3509,3509,294554,294554,0,1861,303,639,5000,3,0,0,-65247,-64061,0.53877688172043,0.53877688172043,1.635,1.632
2011_300/338.evt.gz,2056,2056,294554,294554,0,948,216,437,5000,4,0,0,-70247,-69061,0.454771505376344,0.471706989247312,1.635,1.632
2011_300/447.evt.gz,446,446,199265,199265,2,80,26,112,5000,0,-9477,-10076,-67747,-66561,0.656,0.683,1.635,1.632
2011_300/447.evt.gz,927,927,199265,199265,2,326,37,188,5000,2500,-6977,-7576,-65247,-64061,0.656,0.683,1.635,1.632
2011_300/447.evt.gz,1755,1755,199265,199265,3,913,47,258,5000,5000,-4477,-5076,-62747,-61561,0.656,0.683,1.635,1.632
2011_300/447.evt.gz,2993,2993,199265,199265,4,1892,66,287,5000,7500,-1977,-2576,-60247,-59061,0.656,0.683,1.635,1.632
2011_300/447.evt.gz,4668,4668,199265,199265,4,3223,70,308,5000,10000,523,-76,-57747,-56561,0.656,0.683,1.635,1.632
2011_300/447.evt.gz,4471,4471,199265,199265,3,3089,70,295,5000,1,0,0,-67746,-66560,0.656,0.683,1.635,1.632
2011_300/447.evt.gz,1775,1775,199265,199265,2,1228,40,128,5000,2,0,0,-67745,-66559,0.496774193548387,0.513709677419355,1.635,1.632
2011_300/447.evt.gz,2329,2329,199265,199265,2,1560,45,197,5000,3,0,0,-65247,-64061,0.53877688172043,0.53877688172043,1.635,1.632
2011_300/447.evt.gz,1199,1199,199265,199265,1,846,32,74,5000,4,0,0,-70247,-69061,0.454771505376344,0.471706989247312,1.635,1.632
2011_301/134.evt.gz,991,991,482595,482595,0,138,325,137,5000,0,-9477,-10076,-67747,-66561,0.656,0.683,1.635,1.632
2011_301/134.evt.gz,1902,1902,482595,482595,0,633,415,241,5000,2500,-6977,-7576,-65247,-64061,0.656,0.683,1.635,1.632
2011_301/134.evt.gz,3589,3589,482595,482595,0,1929,520,325,5000,5000,-4477,-5076,-62747,-61561,0.656,0.683,1.635,1.632
2011_301/134.evt.gz,6129,6129,482595,482595,0,4109,599,379,5000,7500,-1977,-2576,-60247,-59061,0.656,0.683,1.635,1.632
2011_301/134.evt.gz,9630,9630,482595,482595,0,7104,680,419,5000,10000,523,-76,-57747,-56561,0.656,0.683,1.635,1.632
2011_301/134.evt.gz,9192,9192,482595,482595,0,6771,673,385,5000,1,0,0,-67746,-66560,0.656,0.683,1.635,1.632
2011_301/134.evt.gz,3897,3897,482595,482595,0,2663,455,170,5000,2,0,0,-67745,-66559,0.496774193548387,0.513709677419355,1.635,1.632
2011_301/134.evt.gz,4920,4920,482595,482595,0,3395,503,250,5000,3,0,0,-65247,-64061,0.53877688172043,0.53877688172043,1.635,1.632
2011_301/134.evt.gz,2744,2744,482595,482595,0,1828,377,95,5000,4,0,0,-70247,-69061,0.454771505376344,0.471706989247312,1.635,1.632
2011_301/334.evt.gz,502,502,298530,298530,0,5,56,98,5000,0,-9477,-10076,-67747,-66561,0.656,0.683,1.635,1.632
2011_301/334.evt.gz,885,885,298530,298530,1,72,81,208,5000,2500,-6977,-7576,-65247,-64061,0.656,0.683,1.635,1.632
2011_301/334.evt.gz,1599,1599,298530,298530,1,515,104,279,5000,5000,-4477,-5076,-62747,-61561,0.656,0.683,1.635,1.632
